"window_sec","pkg","event_cnt","uniq_cpu","uniq_comm","uniq_tgid"
"1777046643","com.google.android.apps.scone","1","1","1","1"
"1777046643","com.topjohnwu.magisk","1","1","1","1"
"1777046644","com.android.systemui","2","2","1","1"
"1777046645","com.android.systemui","1","1","1","1"
"1777046646","com.android.systemui","1","1","1","1"
"1777046647","com.android.systemui","3","2","2","1"
"1777046647","com.google.android.apps.scone","3","2","2","1"
"1777046647","com.google.android.gms","1","1","1","1"
"1777046648","com.android.systemui","79","8","9","1"
"1777046648","com.google.android.apps.nexuslauncher","109","8","6","1"
"1777046648","com.google.android.as","10","5","1","1"
"1777046648","com.google.android.inputmethod.latin","2","2","1","1"
"1777046648","com.google.android.pixelsystemservice","3","3","2","1"
"1777046648","com.tencent.mobileqq","170","8","32","2"
"1777046648","com.tencent.mobileqq:MSF","105","6","16","1"
"1777046649","com.android.systemui","159","6","7","1"
"1777046649","com.google.android.apps.nexuslauncher","182","8","7","1"
"1777046649","com.google.android.as","2","1","1","1"
"1777046649","com.google.android.gms.persistent","1","1","1","1"
"1777046649","com.google.android.pixelsystemservice","1","1","1","1"
"1777046649","com.google.android.providers.media.module","2","1","2","1"
"1777046649","com.tencent.mobileqq","125","8","22","1"
"1777046649","com.tencent.mobileqq:MSF","86","6","8","1"
"1777046650","com.android.systemui","37","6","7","1"
"1777046650","com.google.android.apps.nexuslauncher","56","8","6","1"
"1777046650","com.google.android.apps.scone","1","1","1","1"
"1777046650","com.google.android.gms","13","5","5","1"
"1777046650","com.google.android.gms.persistent","22","4","4","1"
"1777046650","com.google.android.inputmethod.latin","1","1","1","1"
"1777046650","com.google.android.pixelsystemservice","4","2","2","1"
"1777046650","com.google.android.providers.media.module","8","5","4","1"
"1777046650","com.tencent.mobileqq","84","6","21","1"
"1777046650","com.tencent.mobileqq:MSF","63","6","5","1"
"1777046651","com.tencent.mobileqq","25","4","12","1"
"1777046651","com.tencent.mobileqq:MSF","26","4","4","1"
"1777046652","com.android.hbmsvmanager","1","1","1","1"
"1777046652","com.google.android.apps.nexuslauncher","1","1","1","1"
"1777046652","com.google.android.apps.scone","1","1","1","1"
"1777046652","com.google.android.connectivitythermalpowermanager","1","1","1","1"
"1777046652","com.tencent.mobileqq","11","4","6","1"
"1777046652","com.tencent.mobileqq:MSF","13","4","3","1"
"1777046653","com.google.android.apps.scone","1","1","1","1"
"1777046653","com.google.android.as","1","1","1","1"
"1777046653","com.tencent.mobileqq","16","4","7","1"
"1777046653","com.tencent.mobileqq:MSF","16","4","3","1"
"1777046654","com.tencent.mobileqq","12","3","4","1"
"1777046654","com.tencent.mobileqq:MSF","13","3","2","1"
"1777046655","com.tencent.mobileqq","59","4","15","1"
"1777046655","com.tencent.mobileqq:MSF","60","4","6","1"
"1777046656","com.google.android.apps.scone","1","1","1","1"
"1777046656","com.tencent.mobileqq","9","4","3","1"
"1777046656","com.tencent.mobileqq:MSF","10","3","3","1"
"1777046657","com.google.android.apps.scone","1","1","1","1"
"1777046657","com.google.android.providers.media.module","1","1","1","1"
"1777046657","com.tencent.mobileqq","21","4","6","1"
"1777046657","com.tencent.mobileqq:MSF","21","4","3","1"
"1777046658","com.tencent.mobileqq","16","4","7","1"
"1777046658","com.tencent.mobileqq:MSF","16","4","4","1"
"1777046659","com.google.android.apps.scone","1","1","1","1"
"1777046659","com.tencent.mobileqq","19","3","5","1"
"1777046659","com.tencent.mobileqq:MSF","17","3","3","1"
