1777046643.866 APP_START pkg=com.topjohnwu.magisk pid=9085 tgid=8634 uid=10272 comm=binder:8634_8 cpu=5
1777046643.900 APP_START pkg=com.google.android.apps.scone pid=30600 tgid=30415 uid=10127 comm=WifiScorerServi cpu=1
1777046644.650 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=3
1777046644.951 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=4
1777046645.253 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=3
1777046646.920 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=1
1777046647.011 APP_START pkg=com.google.android.apps.scone pid=30600 tgid=30415 uid=10127 comm=WifiScorerServi cpu=1
1777046647.020 APP_START pkg=com.google.android.gms pid=12314 tgid=12314 uid=10170 comm=gle.android.gms cpu=3
1777046647.237 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=1
1777046647.423 APP_START pkg=com.google.android.apps.scone pid=30750 tgid=30415 uid=10127 comm=StateService cpu=3
1777046647.426 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=4
1777046647.429 APP_START pkg=com.google.android.apps.scone pid=30750 tgid=30415 uid=10127 comm=StateService cpu=3
1777046647.438 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=4
1777046648.057 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=1
1777046648.095 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=0
1777046648.097 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.099 APP_START pkg=com.android.systemui pid=2060 tgid=2021 uid=10227 comm=SysUiBg cpu=4
1777046648.099 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.099 APP_START pkg=com.android.systemui pid=2054 tgid=2021 uid=10227 comm=ll.splashscreen cpu=2
1777046648.099 APP_START pkg=com.google.android.apps.nexuslauncher pid=29913 tgid=29885 uid=10229 comm=UiThreadHelper cpu=5
1777046648.102 APP_START pkg=com.android.systemui pid=2076 tgid=2021 uid=10227 comm=hwuiTask0 cpu=5
1777046648.102 APP_START pkg=com.google.android.apps.nexuslauncher pid=29914 tgid=29885 uid=10229 comm=launcher-loader cpu=6
1777046648.103 APP_START pkg=com.android.systemui pid=2045 tgid=2021 uid=10227 comm=wmshell.main cpu=4
1777046648.107 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.109 APP_START pkg=com.android.systemui pid=2054 tgid=2021 uid=10227 comm=ll.splashscreen cpu=6
1777046648.114 APP_START pkg=com.google.android.apps.nexuslauncher pid=29913 tgid=29885 uid=10229 comm=UiThreadHelper cpu=7
1777046648.114 APP_START pkg=com.android.systemui pid=2045 tgid=2021 uid=10227 comm=wmshell.main cpu=7
1777046648.115 APP_START pkg=com.google.android.apps.nexuslauncher pid=17901 tgid=29885 uid=10229 comm=binder:29885_B cpu=6
1777046648.115 APP_START pkg=com.android.systemui pid=2158 tgid=2021 uid=10227 comm=pool-9-thread-1 cpu=7
1777046648.116 APP_START pkg=com.google.android.apps.nexuslauncher pid=17901 tgid=29885 uid=10229 comm=binder:29885_B cpu=6
1777046648.116 APP_START pkg=com.android.systemui pid=2158 tgid=2021 uid=10227 comm=pool-9-thread-1 cpu=6
1777046648.116 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.132 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=re-initialized> cpu=7
