1777257243.402 APP_START pkg=com.android.hbmsvmanager pid=20631 tgid=2208 uid=10224 comm=binder:2208_5 cpu=4
1777257243.404 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=0
1777257243.705 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=3
1777257243.720 APP_START pkg=com.google.android.apps.scone pid=30750 tgid=30415 uid=10127 comm=StateService cpu=3
1777257243.722 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=3
1777257243.723 APP_START pkg=com.google.android.apps.scone pid=30750 tgid=30415 uid=10127 comm=StateService cpu=2
1777257243.740 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257243.849 APP_START pkg=com.topjohnwu.magisk pid=8634 tgid=8634 uid=10272 comm=opjohnwu.magisk cpu=0
1777257243.851 APP_START pkg=com.google.android.pixelsystemservice pid=22943 tgid=2205 uid=10241 comm=DefaultDispatch cpu=2
1777257243.853 APP_START pkg=com.topjohnwu.magisk pid=8634 tgid=8634 uid=10272 comm=opjohnwu.magisk cpu=0
1777257243.857 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257243.861 APP_START pkg=com.topjohnwu.magisk pid=29230 tgid=8634 uid=10272 comm=binder:8634_C cpu=5
1777257243.873 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=0
1777257243.880 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=0
1777257243.888 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=0
1777257243.889 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=4
1777257243.902 APP_START pkg=com.android.hbmsvmanager pid=2698 tgid=2208 uid=10224 comm=hbmsv cpu=2
1777257243.903 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=1
1777257243.904 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=4
1777257243.919 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257243.930 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=3
1777257243.937 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257243.947 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=4
1777257243.954 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=1
1777257243.956 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=2
1777257243.971 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=0
1777257243.980 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=5
1777257243.987 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=1
1777257243.997 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=5
1777257244.004 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257244.014 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=5
1777257244.021 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257244.031 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=5
1777257244.038 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=3
1777257244.047 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=5
1777257244.060 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=3
1777257244.064 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=5
1777257244.070 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=0
1777257244.081 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=5
1777257244.088 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=3
1777257244.088 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=5
1777257244.105 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257244.106 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=5
1777257244.122 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257244.123 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=5
1777257244.137 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=1
1777257244.139 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=4
1777257244.155 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=1
1777257244.155 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=0
1777257244.171 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=1
1777257244.172 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=4
1777257244.189 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=1
1777257244.189 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=4
1777257244.205 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257244.215 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=4
1777257244.222 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257244.225 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=0
1777257244.242 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=3
1777257244.557 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=3
1777257244.858 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257245.113 APP_START pkg=com.google.android.googlequicksearchbox:search pid=32366 tgid=32335 uid=10146 comm=Lite Thread #0 cpu=1
1777257245.116 APP_START pkg=com.google.android.googlequicksearchbox:googleapp pid=21958 tgid=12299 uid=10146 comm=binder:12299_E cpu=3
1777257245.122 APP_START pkg=com.google.android.googlequicksearchbox:search pid=32366 tgid=32335 uid=10146 comm=Lite Thread #0 cpu=1
1777257245.132 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=0
1777257245.133 APP_START pkg=com.google.android.googlequicksearchbox:googleapp pid=12299 tgid=12299 uid=10146 comm=chbox:googleapp cpu=3
1777257245.141 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257245.406 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=3
1777257245.407 APP_START pkg=com.google.android.apps.photos pid=3976 tgid=3976 uid=10182 comm=oid.apps.photos cpu=2
1777257245.413 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257245.418 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=3
1777257245.418 APP_START pkg=com.google.android.apps.photos pid=3976 tgid=3976 uid=10182 comm=oid.apps.photos cpu=7
1777257245.425 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257245.434 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=3
1777257245.435 APP_START pkg=com.google.android.apps.photos pid=3976 tgid=3976 uid=10182 comm=oid.apps.photos cpu=4
1777257245.441 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=0
1777257245.451 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=3
1777257245.452 APP_START pkg=com.google.android.apps.photos pid=3976 tgid=3976 uid=10182 comm=oid.apps.photos cpu=4
1777257245.458 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=0
1777257245.468 APP_START pkg=com.google.android.apps.photos pid=3976 tgid=3976 uid=10182 comm=oid.apps.photos cpu=4
1777257245.468 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=0
1777257245.470 APP_START pkg=com.google.android.apps.photos pid=22191 tgid=3976 uid=10182 comm=RenderThread cpu=5
1777257245.475 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=0
1777257245.485 APP_START pkg=com.google.android.apps.photos pid=3976 tgid=3976 uid=10182 comm=oid.apps.photos cpu=4
1777257245.485 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=0
1777257245.488 APP_START pkg=com.google.android.apps.photos pid=22191 tgid=3976 uid=10182 comm=RenderThread cpu=6
1777257245.496 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=3
1777257245.502 APP_START pkg=com.google.android.apps.photos pid=3976 tgid=3976 uid=10182 comm=oid.apps.photos cpu=4
1777257245.502 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=0
1777257245.504 APP_START pkg=com.google.android.apps.photos pid=22191 tgid=3976 uid=10182 comm=RenderThread cpu=6
1777257245.511 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257245.514 APP_START pkg=com.google.android.apps.photos pid=3996 tgid=3976 uid=10182 comm=GoogleApiHandle cpu=6
1777257245.519 APP_START pkg=com.google.android.gms.persistent pid=21109 tgid=19822 uid=10170 comm=lowpool[19] cpu=0
1777257245.520 APP_START pkg=com.google.android.apps.photos pid=11181 tgid=3976 uid=10182 comm=binder:3976_9 cpu=0
1777257245.520 APP_START pkg=com.google.android.gms.persistent pid=21109 tgid=19822 uid=10170 comm=lowpool[19] cpu=0
1777257245.521 APP_START pkg=com.google.android.apps.photos pid=21814 tgid=3976 uid=10182 comm=glide-disk-cach cpu=7
1777257245.525 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=2
1777257245.525 APP_START pkg=com.google.android.apps.photos pid=3996 tgid=3976 uid=10182 comm=GoogleApiHandle cpu=6
1777257245.529 APP_START pkg=com.google.android.gms.persistent pid=21109 tgid=19822 uid=10170 comm=lowpool[19] cpu=0
1777257245.529 APP_START pkg=com.google.android.apps.photos pid=11181 tgid=3976 uid=10182 comm=binder:3976_9 cpu=0
1777257245.530 APP_START pkg=com.google.android.gms.persistent pid=21109 tgid=19822 uid=10170 comm=lowpool[19] cpu=0
1777257245.535 APP_START pkg=com.google.android.apps.photos pid=3976 tgid=3976 uid=10182 comm=oid.apps.photos cpu=6
1777257245.540 APP_START pkg=com.google.android.GoogleCamera pid=17710 tgid=17710 uid=10162 comm=id.GoogleCamera cpu=3
