window_sec,pkg,event_cnt,uniq_cpu,uniq_comm,uniq_tgid,burst,above_median
1777257243,com.android.hbmsvmanager,2,2,2,1,0,0
1777257243,com.android.systemui,8,5,2,1,0,0
1777257243,com.google.android.GoogleCamera,13,4,1,1,0,0
1777257243,com.google.android.apps.scone,2,2,1,1,1,1
1777257243,com.google.android.pixelsystemservice,1,1,1,1,0,0
1777257243,com.topjohnwu.magisk,3,2,2,1,1,0
1777257244,com.android.systemui,14,3,2,1,0,1
1777257244,com.google.android.GoogleCamera,17,4,1,1,0,0
1777257245,com.google.android.GoogleCamera,38,4,1,1,0,0
1777257245,com.google.android.apps.nexuslauncher,13,6,1,1,0,0
1777257245,com.google.android.apps.photos,58,7,7,1,0,0
1777257245,com.google.android.gms.persistent,7,2,1,1,0,0
1777257245,com.google.android.googlequicksearchbox:googleapp,2,1,2,1,1,0
1777257245,com.google.android.googlequicksearchbox:search,2,1,1,1,0,0
1777257245,com.google.android.providers.media.module,12,2,2,1,0,1
1777257246,com.android.systemui,24,6,2,1,0,1
1777257246,com.google.android.GoogleCamera,49,4,1,1,0,0
1777257246,com.google.android.apps.nexuslauncher,12,6,1,1,0,0
1777257246,com.google.android.apps.photos,56,7,7,1,0,0
1777257246,com.google.android.gms,4,4,3,1,0,1
1777257246,com.google.android.gms.persistent,4,2,1,1,0,0
1777257246,com.google.android.providers.media.module,11,2,2,1,0,1
1777257247,com.google.android.GoogleCamera,59,4,1,1,0,1
1777257247,com.google.android.apps.nexuslauncher,22,6,1,1,0,1
1777257247,com.google.android.apps.photos,92,6,6,1,0,1
1777257247,com.google.android.connectivitythermalpowermanager,1,1,1,1,0,0
1777257247,com.google.android.gms.persistent,8,3,1,1,0,0
1777257247,com.google.android.providers.media.module,13,2,2,1,0,1
1777257248,com.android.systemui,1,1,1,1,0,0
1777257248,com.google.android.GoogleCamera,58,4,1,1,0,1
1777257248,com.google.android.apps.nexuslauncher,16,4,1,1,0,1
1777257248,com.google.android.apps.photos,79,7,7,1,0,1
1777257248,com.google.android.apps.scone,1,1,1,1,0,0
1777257248,com.google.android.gms.persistent,12,5,1,1,0,0
1777257248,com.google.android.providers.media.module,1,1,1,1,0,0
1777257249,com.google.android.GoogleCamera,55,4,1,1,0,0
1777257249,com.google.android.apps.nexuslauncher,13,5,1,1,0,0
1777257249,com.google.android.apps.photos,70,6,6,1,0,0
1777257249,com.google.android.gms.persistent,8,3,1,1,0,0
1777257250,com.google.android.GoogleCamera,57,4,1,1,0,0
1777257250,com.google.android.apps.nexuslauncher,21,6,1,1,0,1
1777257250,com.google.android.apps.photos,90,8,7,1,0,1
1777257250,com.google.android.gms.persistent,19,4,1,1,0,1
1777257250,com.google.android.providers.media.module,8,4,2,1,0,0
1777257251,com.android.hbmsvmanager,2,2,1,1,0,0
1777257251,com.android.systemui,41,6,4,1,0,1
1777257251,com.android.vending,7,4,4,1,1,1
1777257251,com.google.android.GoogleCamera,90,6,12,1,0,1
1777257251,com.google.android.apps.nexuslauncher,12,4,2,1,0,0
1777257251,com.google.android.apps.photos,75,6,5,1,0,1
1777257251,com.google.android.apps.scone,1,1,1,1,0,0
1777257251,com.google.android.as,2,1,1,1,0,1
1777257251,com.google.android.gms.persistent,20,5,2,1,0,1
1777257251,com.google.android.grilservice,5,3,2,1,0,1
1777257251,com.google.android.pixelsystemservice,2,2,1,1,0,0
1777257251,com.google.android.providers.media.module,10,3,2,1,0,0
1777257252,com.android.systemui,78,6,6,1,1,1
1777257252,com.google.android.GoogleCamera,149,8,17,1,1,1
1777257252,com.google.android.apps.nexuslauncher,34,6,2,1,1,1
1777257252,com.google.android.apps.photos,50,8,6,1,0,0
1777257252,com.google.android.gms,7,4,1,1,0,1
1777257252,com.google.android.gms.persistent,55,6,11,1,1,1
1777257252,com.google.android.googlequicksearchbox:interactor,4,2,1,1,0,0
1777257252,com.google.android.googlequicksearchbox:search,4,2,1,1,0,0
1777257252,com.google.android.inputmethod.latin,3,3,1,1,0,0
1777257252,com.google.android.pixelsystemservice,2,2,2,1,0,0
1777257252,com.google.android.providers.media.module,16,6,1,1,0,1
1777257253,com.android.systemui,4,4,1,1,0,0
1777257253,com.google.android.GoogleCamera,58,7,11,1,0,1
1777257253,com.google.android.apps.nexuslauncher,17,5,2,1,0,1
1777257253,com.google.android.apps.photos,1,1,1,1,0,0
1777257253,com.google.android.apps.scone,2,2,2,1,1,1
1777257253,com.google.android.gms,1,1,1,1,0,0
1777257253,com.google.android.gms.persistent,27,5,3,1,0,1
1777257253,com.google.android.googlequicksearchbox:interactor,4,2,1,1,0,0
1777257253,com.google.android.googlequicksearchbox:search,4,2,1,1,0,0
1777257253,com.google.android.grilservice,3,3,2,1,0,0
1777257254,com.android.chrome,2,2,1,1,1,0
1777257254,com.android.systemui,6,4,3,1,0,0
1777257254,com.google.android.GoogleCamera,36,6,16,1,0,0
1777257254,com.google.android.apps.nexuslauncher,8,5,2,1,0,0
1777257254,com.google.android.apps.photos,2,2,2,1,0,0
1777257254,com.google.android.apps.scone,2,1,1,1,1,1
1777257254,com.google.android.apps.turbo,1,1,1,1,0,0
1777257254,com.google.android.gms,1,1,1,1,0,0
1777257254,com.google.android.gms.persistent,9,5,3,1,0,0
1777257254,com.google.android.googlequicksearchbox:interactor,8,3,1,1,1,1
1777257254,com.google.android.googlequicksearchbox:search,7,4,1,1,1,1
1777257254,com.google.android.pixelsystemservice,1,1,1,1,0,0
1777257255,com.android.systemui,50,6,3,1,0,1
1777257255,com.google.android.GoogleCamera,64,4,6,1,0,1
1777257255,com.google.android.apps.nexuslauncher,14,4,2,1,0,0
1777257255,com.google.android.gms.persistent,9,1,2,1,0,0
1777257256,com.android.hbmsvmanager,1,1,1,1,0,0
1777257256,com.android.systemui,23,6,7,1,0,1
1777257256,com.google.android.GoogleCamera,122,8,13,1,1,1
1777257256,com.google.android.apps.nexuslauncher,28,6,2,1,1,1
1777257256,com.google.android.apps.photos,97,8,12,1,1,1
1777257256,com.google.android.apps.scone,1,1,1,1,0,0
1777257256,com.google.android.as,1,1,1,1,0,0
1777257256,com.google.android.gms,1,1,1,1,0,0
1777257256,com.google.android.gms.persistent,62,6,9,1,1,1
1777257256,com.google.android.grilservice,3,2,2,1,0,0
1777257256,com.google.android.inputmethod.latin,1,1,1,1,0,0
1777257256,com.google.android.pixelsystemservice,3,3,2,1,1,0
1777257256,com.google.android.providers.media.module,23,6,2,1,0,1
1777257257,com.android.systemui,1,1,1,1,0,0
1777257257,com.google.android.GoogleCamera,14,3,3,1,0,0
1777257257,com.google.android.apps.nexuslauncher,8,5,1,1,0,0
1777257257,com.google.android.apps.photos,79,8,15,1,0,1
1777257257,com.google.android.connectivitythermalpowermanager,1,1,1,1,0,0
1777257257,com.google.android.gms.persistent,35,6,4,1,0,1
1777257257,com.google.android.providers.media.module,34,5,2,1,1,1
1777257258,com.android.systemui,1,1,1,1,0,0
1777257258,com.google.android.GoogleCamera,11,3,1,1,0,0
1777257258,com.google.android.apps.photos,11,2,3,1,0,0
1777257258,com.google.android.apps.scone,2,1,1,1,1,1
1777257258,com.google.android.providers.media.module,8,1,1,1,0,0
1777257259,com.android.systemui,11,5,2,1,0,0
1777257259,com.google.android.GoogleCamera,15,3,1,1,0,0
1777257259,com.google.android.apps.photos,1,1,1,1,0,0
1777257259,com.google.android.providers.media.module,1,1,1,1,0,0
1777257260,com.android.systemui,4,4,1,1,0,0
1777257260,com.google.android.GoogleCamera,21,4,1,1,0,0
1777257260,com.google.android.apps.nexuslauncher,10,4,1,1,0,0
1777257260,com.google.android.apps.photos,27,7,5,1,0,0
1777257260,com.google.android.gms.persistent,4,2,2,1,0,0
1777257261,com.google.android.GoogleCamera,60,4,1,1,0,1
1777257261,com.google.android.apps.nexuslauncher,19,6,1,1,0,1
1777257261,com.google.android.apps.photos,85,6,7,1,0,1
1777257261,com.google.android.gms.persistent,8,3,1,1,0,0
1777257261,com.google.android.providers.media.module,7,2,1,1,0,0
1777257262,com.google.android.GoogleCamera,60,4,1,1,0,1
1777257262,com.google.android.apps.nexuslauncher,19,6,1,1,0,1
1777257262,com.google.android.apps.photos,91,6,10,1,0,1
1777257262,com.google.android.gms.persistent,16,5,4,1,0,1
1777257262,com.google.android.providers.media.module,7,4,3,1,0,0
1777257263,com.google.android.GoogleCamera,57,4,1,1,0,0
1777257263,com.google.android.apps.nexuslauncher,23,5,1,1,0,1
1777257263,com.google.android.apps.photos,70,4,6,1,0,0
1777257263,com.google.android.apps.scone,1,1,1,1,0,0
1777257263,com.google.android.gms.persistent,6,3,2,1,0,0
1777257263,com.google.android.providers.media.module,10,3,2,1,0,0
1777257264,com.google.android.GoogleCamera,60,4,1,1,0,1
1777257264,com.google.android.apps.nexuslauncher,14,5,1,1,0,0
1777257264,com.google.android.apps.photos,90,7,7,1,0,1
1777257264,com.google.android.gms.persistent,18,5,2,1,0,1
1777257264,com.google.android.providers.media.module,6,2,2,1,0,0
1777257265,com.google.android.GoogleCamera,44,4,1,1,0,0
1777257265,com.google.android.apps.nexuslauncher,11,4,1,1,0,0
1777257265,com.google.android.apps.photos,57,6,6,1,0,0
1777257265,com.google.android.gms.persistent,8,2,2,1,0,0
1777257266,com.android.hbmsvmanager,2,2,1,1,0,0
1777257266,com.android.systemui,68,6,6,1,1,1
1777257266,com.android.vending,5,4,3,1,0,0
1777257266,com.google.android.GoogleCamera,178,8,17,1,1,1
1777257266,com.google.android.apps.nexuslauncher,23,5,2,1,0,1
1777257266,com.google.android.apps.photos,107,8,11,1,1,1
1777257266,com.google.android.apps.scone,1,1,1,1,0,0
1777257266,com.google.android.as,2,1,1,1,0,1
1777257266,com.google.android.gms,8,3,2,1,0,1
1777257266,com.google.android.gms.persistent,56,6,9,1,1,1
1777257266,com.google.android.grilservice,4,3,2,1,0,0
1777257266,com.google.android.inputmethod.latin,5,2,1,1,1,1
1777257266,com.google.android.pixelsystemservice,3,2,2,1,1,0
1777257266,com.google.android.providers.media.module,20,3,1,1,0,1
1777257267,com.android.systemui,15,3,2,1,0,1
1777257267,com.google.android.GoogleCamera,15,5,3,1,0,0
1777257267,com.google.android.apps.nexuslauncher,6,2,1,1,0,0
1777257267,com.google.android.apps.photos,9,4,3,1,0,0
1777257267,com.google.android.connectivitythermalpowermanager,1,1,1,1,0,0
1777257267,com.google.android.gms.persistent,1,1,1,1,0,0
1777257267,com.google.android.providers.media.module,8,3,2,1,0,0
1777257268,com.android.systemui,2,2,1,1,0,0
1777257268,com.google.android.GoogleCamera,37,7,9,1,0,0
1777257268,com.google.android.apps.nexuslauncher,6,3,2,1,0,0
1777257268,com.google.android.apps.photos,3,2,3,1,0,0
1777257268,com.google.android.apps.scone,2,2,1,1,1,1
1777257268,com.google.android.gms,1,1,1,1,0,0
1777257268,com.google.android.gms.persistent,26,6,3,1,0,1
1777257269,com.android.systemui,2,2,1,1,0,0
1777257269,com.google.android.GoogleCamera,19,6,9,1,0,0
1777257269,com.google.android.apps.nexuslauncher,4,4,2,1,0,0
1777257269,com.google.android.gms.persistent,13,3,3,1,0,1
1777257270,com.android.systemui,69,6,4,1,1,1
1777257270,com.google.android.GoogleCamera,92,6,14,1,1,1
1777257270,com.google.android.apps.nexuslauncher,12,5,2,1,0,0
1777257270,com.google.android.gms.persistent,15,4,3,1,0,1
1777257270,com.google.android.googlequicksearchbox:interactor,5,4,1,1,0,0
1777257270,com.google.android.googlequicksearchbox:search,6,3,1,1,0,1
1777257271,com.android.hbmsvmanager,4,1,1,1,1,1
1777257271,com.android.systemui,7,4,3,1,0,0
1777257271,com.google.android.GoogleCamera,54,7,13,1,0,0
