frame_number,intended_vsync_ns,expected_start_ns,expected_end_ns,actual_present_ns,is_jank,delay_ms
4040596,253121577793871,253121577793871,253121594393871,253121585509314,1,-8.884557
4040608,253121594460295,253121594460295,253121611060295,253121599917844,1,-11.142451
4040614,253121594460295,253121594460295,253121611060295,253121599644854,1,-11.415441
4040634,253121613466076,253121613466076,253121630066076,253121617448727,0,-12.617349
4040647,253121630132906,253121630132906,253121646732906,253121633779579,0,-12.953327
4040660,253121646799655,253121646799655,253121663399655,253121650404701,0,-12.994954
4040673,253121663466280,253121663466280,253121680066280,253121666685421,0,-13.380859
4040686,253121680132907,253121680132907,253121696732907,253121683058713,0,-13.674194
4040699,253121697439004,253121697439004,253121714039004,253121700504717,0,-13.534287
4040712,253121714081511,253121714081511,253121730681511,253121717478147,0,-13.203364
4040725,253121730730490,253121730730490,253121747330490,253121734186032,0,-13.144458
4040738,253121747411889,253121747411889,253121764011889,253121750907834,0,-13.104055
4040751,253121764098343,253121764098343,253121780698343,253121767299110,0,-13.399233
4040764,253121780794225,253121780794225,253121797394225,253121784055173,0,-13.339052
4040777,253121797491006,253121797491006,253121814091006,253121800682166,0,-13.408840
4040790,253121814191479,253121814191479,253121830791479,253121817735552,0,-13.055927
4040803,253121830888891,253121830888891,253121847488891,253121834170936,0,-13.317955
4040816,253121847596050,253121847596050,253121864196050,253121852125242,0,-12.070808
4040829,253121864300711,253121864300711,253121880900711,253121867355180,0,-13.545531
4040842,253121881005836,253121881005836,253121897605836,253121884255001,0,-13.350835
4040855,253121897740765,253121897740765,253121914340765,253121900836586,0,-13.504179
4040868,253121914441136,253121914441136,253121931041136,253121918377682,0,-12.663454
4040881,253121931142287,253121931142287,253121947742287,253121934445553,0,-13.296734
4040894,253121947839721,253121947839721,253121964439721,253121951423133,0,-13.016588
4040907,253121964534564,253121964534564,253121981134564,253121967536700,0,-13.597864
4040920,253121981235830,253121981235830,253121997835830,253121984278357,0,-13.557473
4040933,253121997929133,253121997929133,253122014529133,253122001287879,0,-13.241254
4040946,253122014646370,253122014646370,253122031246370,253122018114662,0,-13.131708
4040965,253122031395629,253122031395629,253122047995629,253122035019528,0,-12.976101
4040972,253122048104644,253122048104644,253122064704644,253122051852658,0,-12.851986
4040985,253122064812697,253122064812697,253122081412697,253122068551959,0,-12.860738
4040998,253122081522521,253122081522521,253122098122521,253122084853349,0,-13.269172
4041005,253122098229739,253122098229739,253122114829739,253122102545896,0,-12.283843
4041012,253122114937223,253122114937223,253122131537223,253122118090166,0,-13.447057
4041019,253122131641661,253122131641661,253122148241661,253122135370481,0,-12.871180
4041026,253122148349143,253122148349143,253122164949143,253122152453610,0,-12.495533
4041033,253122165052090,253122165052090,253122181652090,253122169045326,0,-12.606764
4041040,253122181797274,253122181797274,253122198397274,253122184875363,0,-13.521911
4041047,253122198500837,253122198500837,253122215100837,253122202274046,0,-12.826791
4041054,253122215200182,253122215200182,253122231800182,253122219047035,0,-12.753147
4041061,253122231921823,253122231921823,253122248521823,253122234854082,0,-13.667741
4041068,253122248645585,253122248645585,253122265245585,253122251687985,0,-13.557600
4041075,253122265342520,253122265342520,253122281942520,253122269785642,0,-12.156878
4041082,253122282042522,253122282042522,253122298642522,253122285443357,0,-13.199165
4041089,253122298743201,253122298743201,253122315343201,253122302715613,0,-12.627588
4041096,253122315441106,253122315441106,253122332041106,253122318703366,0,-13.337740
4041103,253122332139457,253122332139457,253122348739457,253122335664711,0,-13.074746
4041110,253122348838369,253122348838369,253122365438369,253122352074338,0,-13.364031
4041117,253122365575682,253122365575682,253122382175682,253122368588376,0,-13.587306
4041124,253122382277565,253122382277565,253122398877565,253122386440305,0,-12.437260
4041131,253122398979608,253122398979608,253122415579608,253122403505735,0,-12.073873
4041138,253122415680793,253122415680793,253122432280793,253122418675941,0,-13.604852
4041145,253122432379493,253122432379493,253122448979493,253122435305864,0,-13.673629
