# tracer: nop
#
# entries-in-buffer/entries-written: 3089/3089   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [000] dn.1. 253154.850802: cpu_idle: state=4294967295 cpu_id=0
          <idle>-0       [000] d..2. 253154.850826: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=TimerDispatch next_pid=675 next_prio=97
   TimerDispatch-675     [000] ..... 253154.850853: tracing_mark_write: B|606|TimerIteration #12955
   TimerDispatch-675     [000] ..... 253154.850861: tracing_mark_write: E|606
   TimerDispatch-675     [000] ..... 253154.850875: tracing_mark_write: B|606|timerCallback
   TimerDispatch-675     [000] ..... 253154.850888: tracing_mark_write: I|606|sf alarm in -643us; VSYNC in 15956us
   TimerDispatch-675     [000] ..... 253154.850898: tracing_mark_write: I|606|app alarm in -531us; VSYNC in 32668us
   TimerDispatch-675     [000] ..... 253154.850908: tracing_mark_write: B|606|rearmTimerSkippingUpdateFor
   TimerDispatch-675     [000] ..... 253154.850916: tracing_mark_write: B|606|cancel timer
   TimerDispatch-675     [000] ..... 253154.850930: tracing_mark_write: E|606
   TimerDispatch-675     [000] ..... 253154.850935: tracing_mark_write: E|606
   TimerDispatch-675     [000] ..... 253154.850942: tracing_mark_write: B|606|timerCallback: sf
   TimerDispatch-675     [000] ..... 253154.850950: tracing_mark_write: B|606|vsyncCallback
   TimerDispatch-675     [000] ..... 253154.850957: tracing_mark_write: C|606|VSYNC-sf|0
   TimerDispatch-675     [000] ..... 253154.850963: tracing_mark_write: B|606|generateTokenForPredictions
   TimerDispatch-675     [000] ..... 253154.850974: tracing_mark_write: E|606
   TimerDispatch-675     [000] d..5. 253154.850984: sched_waking: comm=surfaceflinger pid=606 prio=97 target_cpu=000
   TimerDispatch-675     [000] d..6. 253154.851014: sched_wakeup: comm=surfaceflinger pid=606 prio=97 target_cpu=003
   TimerDispatch-675     [000] ..... 253154.851029: tracing_mark_write: E|606
   TimerDispatch-675     [000] ..... 253154.851036: tracing_mark_write: E|606
   TimerDispatch-675     [000] ..... 253154.851043: tracing_mark_write: B|606|timerCallback: app
   TimerDispatch-675     [000] ..... 253154.851050: tracing_mark_write: C|606|VSYNC-app|0
   TimerDispatch-675     [000] d..2. 253154.851058: sched_waking: comm=app pid=676 prio=97 target_cpu=002
   TimerDispatch-675     [000] d..3. 253154.851083: sched_wakeup: comm=app pid=676 prio=97 target_cpu=001
   TimerDispatch-675     [000] d.h5. 253154.851091: sched_waking: comm=sugov:0 pid=557 prio=49 target_cpu=000
   TimerDispatch-675     [000] d.h6. 253154.851103: sched_wakeup: comm=sugov:0 pid=557 prio=49 target_cpu=002
   TimerDispatch-675     [000] ..... 253154.851117: tracing_mark_write: E|606
   TimerDispatch-675     [000] ..... 253154.851124: tracing_mark_write: E|606
   TimerDispatch-675     [000] d..2. 253154.851157: sched_switch: prev_comm=TimerDispatch prev_pid=675 prev_prio=97 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..1. 253154.851166: cpu_idle: state=0 cpu_id=0
          <idle>-0       [001] dn.1. 253154.851915: cpu_idle: state=4294967295 cpu_id=1
          <idle>-0       [001] d..2. 253154.851932: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=sugov:6 next_pid=559 next_prio=49
         sugov:6-559     [001] ..... 253154.851956: clock_set_rate: domain@2 state=1426000 cpu_id=1
         sugov:6-559     [001] ..... 253154.851963: cpu_frequency: state=1426000 cpu_id=6
         sugov:6-559     [001] ..... 253154.851965: cpu_frequency: state=1426000 cpu_id=7
         sugov:6-559     [001] d..2. 253154.851990: sched_switch: prev_comm=sugov:6 prev_pid=559 prev_prio=49 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
          <idle>-0       [001] d..1. 253154.851997: cpu_idle: state=0 cpu_id=1
    binder:606_2-654     [002] d..2. 253154.852034: sched_switch: prev_comm=binder:606_2 prev_pid=654 prev_prio=120 prev_state=S ==> next_comm=swapper/2 next_pid=0 next_prio=120
          <idle>-0       [002] d..1. 253154.852043: cpu_idle: state=0 cpu_id=2
          <idle>-0       [002] dn.1. 253154.852053: cpu_idle: state=4294967295 cpu_id=2
          <idle>-0       [002] d..2. 253154.852071: sched_switch: prev_comm=swapper/2 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=binder:4880_8 next_pid=27723 next_prio=120
   binder:4880_8-27723   [002] ..... 253154.852102: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
   binder:4880_8-27723   [002] d..2. 253154.852122: sched_switch: prev_comm=binder:4880_8 prev_pid=27723 prev_prio=120 prev_state=S ==> next_comm=swapper/2 next_pid=0 next_prio=120
          <idle>-0       [002] d..1. 253154.852129: cpu_idle: state=0 cpu_id=2
          <idle>-0       [001] dn.1. 253154.852137: cpu_idle: state=4294967295 cpu_id=1
          <idle>-0       [001] d..2. 253154.852154: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=BckgrndExec HP next_pid=685 next_prio=97
  BckgrndExec HP-685     [001] ..... 253154.852171: tracing_mark_write: B|606|TransactionCallbackInvoker::sendCallbacks
  BckgrndExec HP-685     [001] ..... 253154.852178: tracing_mark_write: E|606
  BckgrndExec HP-685     [001] d..2. 253154.852220: sched_switch: prev_comm=BckgrndExec HP prev_pid=685 prev_prio=97 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
          <idle>-0       [001] d..1. 253154.852227: cpu_idle: state=0 cpu_id=1
  surfaceflinger-606     [003] ..... 253154.852286: tracing_mark_write: E|606
