source,target,transaction_count,matched_latency_count,latency_p95_ms
VizCompositorTh,surfaceflinger,112,0,0.0
CompositorGpuTh,surfaceflinger,98,0,0.0
binder:600_1,proc_5364,52,0,0.0
HwBinder:602_2,surfaceflinger,40,40,0.149
surfaceflinger,proc_602,38,0,0.0
BckgrndExec HP,proc_5364,33,0,0.0
android.hardwar,proc_2200,27,0,0.0
binder:2200_4,proc_963,27,0,0.0
RegionSampling,s.nexuslauncher,16,0,0.0
s.nexuslauncher,surfaceflinger,5,0,0.0
android.bg,ogle.android.as,4,0,0.0
IpClient.wlan0,proc_891,4,0,0.0
binder:891_1,proc_2071,4,0,0.0
binder:600_2,proc_5364,3,0,0.0
DisplayHints,android.hardwar,3,3,0.114
wpa_supplicant,proc_1209,2,0,0.0
.android.chrome,surfaceflinger,2,0,0.0
binder:1209_8,cmd,2,1,0.045
ogle.android.as,proc_1209,2,0,0.0
binder:600_1,android.hardwar,2,2,0.125
WifiHandlerThre,proc_975,2,0,0.0
binder:975_2,proc_1209,2,0,0.0
cmd,proc_540,1,0,0.0
cmd,proc_1209,1,0,0.0
atchdog.monitor,proc_566,1,0,0.0
binder:566_2,proc_1209,1,0,0.0
netd,proc_1209,1,0,0.0
WifiHandlerThre,wpa_supplicant,1,1,0.139
WifiHandlerThre,proc_5368,1,0,0.0
WifiHandlerThre,proc_1988,1,0,0.0
WifiScorerServi,proc_1209,1,0,0.0
binder:1209_8,proc_5368,1,0,0.0
