comm,cluster,on_cpu_ms
surfaceflinger,little_0_3,2643.567
CompositorGpuTh,big_6_7,1805.617
Compositor,big_6_7,1614.229
CompositorGpuTh,middle_4_5,1076.76
VizCompositorTh,big_6_7,1060.043
.android.chrome,big_6_7,901.512
VizCompositorTh,middle_4_5,854.225
Compositor,middle_4_5,743.15
RenderEngine,little_0_3,688.512
.android.chrome,middle_4_5,675.473
CrRendererMain,middle_4_5,674.502
CrRendererMain,big_6_7,634.903
surfaceflinger,middle_4_5,620.863
VizCompositorTh,little_0_3,271.001
Chrome_IOThread,big_6_7,231.233
CrGpuMain,big_6_7,192.928
Chrome_IOThread,middle_4_5,190.444
CrGpuMain,middle_4_5,165.116
Chrome_ChildIOT,big_6_7,156.584
.android.chrome,little_0_3,152.289
Chrome_ChildIOT,middle_4_5,131.545
surfaceflinger,big_6_7,107.334
CrRendererMain,little_0_3,94.592
system_server,little_0_3,81.403
RenderThread,little_0_3,44.175
RenderThread,middle_4_5,39.605
RenderEngine,middle_4_5,36.664
system_server,middle_4_5,30.473
Chrome_ChildIOT,little_0_3,16.954
RenderEngine,big_6_7,10.331
Chrome_IOThread,little_0_3,6.768
Compositor,little_0_3,6.643
CompositorGpuTh,little_0_3,4.387
CrGpuMain,little_0_3,3.153
CronetInit,little_0_3,2.662
ConscryptStatsL,little_0_3,0.668
RenderThread,big_6_7,0.553
Chrome_ProcessL,little_0_3,0.422
yt-critical Thr,little_0_3,0.166
Primes-nativecr,little_0_3,0.123
GpuWatchdog_Com,little_0_3,0.089
GpuWatchdog,little_0_3,0.077
GpuWatchdog_Com,middle_4_5,0.077
GpuWatchdog,big_6_7,0.075
VizWebView,little_0_3,0.039
Chrome_InProcGp,little_0_3,0.036
scroll-bg-task,little_0_3,0.018
