window_sec,window_start_ns,window_end_ns,total_events,sched_switch,sched_waking,sched_wakeup,cpu_frequency
0,7441573177583,7442573177583,268087,131813,67778,67778,718
1,7442573177583,7443573177583,157008,76970,39473,39473,1092
2,7443573177583,7444573177583,142935,69761,35931,35931,1312
3,7444573177583,7445573177583,138706,67650,34821,34821,1414
4,7445573177583,7446573177583,164155,80525,41185,41185,1260
5,7446573177583,7447573177583,154934,75935,38976,38975,1048
6,7447573177583,7448573177583,134860,65965,33903,33904,1088
7,7448573177583,7449573177583,139237,68165,34936,34936,1200
8,7449573177583,7450573177583,139799,68571,35070,35070,1088
9,7450573177583,7451573177583,137208,67002,34566,34566,1074
10,7451573177583,7452573177583,154767,74209,39920,39920,718
11,7452573177583,7453573177583,123735,60225,30963,30963,1584
12,7453573177583,7454573177583,126317,61655,31563,31563,1536
13,7454573177583,7455573177583,124874,60918,31157,31157,1642
14,7455573177583,7456573177583,128619,62737,32088,32088,1706
15,7456573177583,7457573177583,115392,56097,28817,28816,1662
16,7457573177583,7458573177583,118472,57603,29570,29571,1728
17,7458573177583,7459573177583,115350,55956,28850,28848,1696
18,7459573177583,7460573177583,110922,53908,27666,27668,1680
19,7460573177583,7461573177583,118111,57439,29394,29394,1884
20,7461573177583,7462573177583,118019,57389,29413,29413,1804
21,7462573177583,7463573177583,127440,62154,31852,31852,1582
22,7463573177583,7464573177583,128106,62472,31970,31970,1694
23,7464573177583,7465573177583,105363,51133,26269,26269,1692
24,7465573177583,7466573177583,67527,32023,16901,16901,1702
25,7466573177583,7467573177583,55162,26146,13699,13699,1618
26,7467573177583,7468573177583,56010,26438,13881,13881,1810
27,7468573177583,7469573177583,50035,23628,12422,12421,1564
28,7469573177583,7470573177583,51682,24385,12797,12798,1702
29,7470573177583,7471573177583,56898,26771,14251,14250,1626
30,7471573177583,7472573177583,53745,25384,13402,13403,1556
31,7472573177583,7473573177583,49161,23082,12243,12242,1594
32,7473573177583,7474573177583,120436,58505,30225,30226,1480
33,7474573177583,7475573177583,131033,64115,32691,32691,1536
34,7475573177583,7476573177583,128581,62839,32055,32055,1632
35,7476573177583,7477573177583,92857,45693,23093,23093,978
36,7477573177583,7478573177583,45516,22666,11383,11383,84
37,7478573177583,7479573177583,34943,17337,8700,8700,206
38,7479573177583,7480573177583,31561,15722,7896,7895,48
39,7480573177583,7481573177583,10907,5398,2716,2717,76
