frame_index,frame_time_ms,deadline_missed,aligned_with_kernel_window,binder_transaction_count,binder_wait_count,dma_fence_wait_count,block_io_issue_count,top_binder_comm,classified_cause
0,16.713,False,True,0,0,0,0,,scheduler_or_render_work
1,16.732,False,True,0,0,0,0,,scheduler_or_render_work
2,16.712,False,True,0,0,0,0,,scheduler_or_render_work
3,16.737,False,True,0,0,0,0,,scheduler_or_render_work
4,16.721,False,True,0,0,0,0,,scheduler_or_render_work
5,16.729,False,True,0,0,0,0,,scheduler_or_render_work
6,16.722,False,True,0,0,0,0,,scheduler_or_render_work
7,16.717,False,True,0,0,0,0,,scheduler_or_render_work
8,16.743,False,True,0,1,0,0,binder:5364_6,scheduler_or_render_work
9,16.71,False,True,1,1,0,0,VizCompositorTh,scheduler_or_render_work
10,16.736,False,True,2,2,0,0,VizCompositorTh,binder_dependency
11,16.724,False,True,1,1,0,0,VizCompositorTh,scheduler_or_render_work
12,16.723,False,True,1,1,0,0,CompositorGpuTh,scheduler_or_render_work
13,16.71,False,True,0,0,0,0,,scheduler_or_render_work
14,16.831,False,True,0,0,0,0,,scheduler_or_render_work
15,16.628,False,True,0,0,0,0,,scheduler_or_render_work
16,16.719,False,True,0,0,0,0,,scheduler_or_render_work
17,16.715,False,True,1,1,0,0,RegionSampling,scheduler_or_render_work
18,16.731,False,True,1,1,0,0,VizCompositorTh,scheduler_or_render_work
19,16.739,False,True,2,2,0,0,VizCompositorTh,binder_dependency
20,16.716,False,True,3,4,0,0,binder:600_1,binder_dependency
21,16.723,False,True,1,3,0,0,binder:5364_3,binder_dependency
22,16.718,False,True,0,0,0,0,,scheduler_or_render_work
23,16.739,False,True,1,3,0,0,binder:5364_3,binder_dependency
24,16.714,False,True,1,1,0,0,CompositorGpuTh,scheduler_or_render_work
25,16.84,False,True,0,1,0,0,binder:5364_6,scheduler_or_render_work
26,16.612,False,True,1,1,0,0,CompositorGpuTh,scheduler_or_render_work
27,16.726,False,True,1,1,0,0,VizCompositorTh,scheduler_or_render_work
28,16.726,False,True,1,1,0,0,CompositorGpuTh,scheduler_or_render_work
29,16.723,False,True,1,2,0,0,binder:600_1,binder_dependency
30,16.729,False,True,1,2,0,0,CompositorGpuTh,binder_dependency
31,16.732,False,True,0,0,0,0,,scheduler_or_render_work
32,16.726,False,True,1,1,0,0,VizCompositorTh,scheduler_or_render_work
33,16.723,False,True,2,2,0,0,VizCompositorTh,binder_dependency
34,16.722,False,True,1,1,0,0,CompositorGpuTh,scheduler_or_render_work
35,16.733,False,True,1,1,0,0,CompositorGpuTh,scheduler_or_render_work
36,16.724,False,True,1,1,0,0,CompositorGpuTh,scheduler_or_render_work
37,16.725,False,True,1,1,0,0,CompositorGpuTh,scheduler_or_render_work
38,16.735,False,True,2,3,0,0,binder:600_1,binder_dependency
39,16.712,False,True,1,4,0,0,binder:5364_3,binder_dependency
40,16.752,False,True,3,5,0,0,binder:600_1,binder_dependency
41,16.707,False,True,2,2,0,0,CompositorGpuTh,binder_dependency
42,16.816,False,True,2,4,0,0,VizCompositorTh,binder_dependency
43,16.636,False,True,5,10,0,0,cmd,binder_dependency
44,16.716,False,True,3,5,0,0,binder:600_1,binder_dependency
45,16.721,False,True,4,7,0,0,binder:600_1,binder_dependency
46,16.725,False,True,2,4,0,0,VizCompositorTh,binder_dependency
47,16.74,False,True,4,5,0,0,binder:600_2,binder_dependency
48,16.711,False,True,2,4,0,0,binder:5364_6,binder_dependency
49,16.74,False,True,2,4,2,0,VizCompositorTh,binder_dependency
50,16.725,False,True,2,4,0,0,VizCompositorTh,binder_dependency
51,16.714,False,True,2,4,0,0,VizCompositorTh,binder_dependency
52,16.719,False,True,3,5,0,0,binder:600_1,binder_dependency
53,16.725,False,True,2,5,0,0,binder:5364_3,binder_dependency
54,16.722,False,True,3,4,0,0,binder:600_1,binder_dependency
55,16.719,False,True,3,4,0,0,binder:2214_E,binder_dependency
56,16.711,False,True,3,5,0,0,binder:600_1,binder_dependency
57,16.75,False,True,2,3,0,0,VizCompositorTh,binder_dependency
58,16.709,False,True,2,2,0,0,VizCompositorTh,binder_dependency
59,16.72,False,True,4,6,0,0,binder:600_2,binder_dependency
60,16.733,False,True,2,3,0,0,VizCompositorTh,binder_dependency
61,16.724,False,True,4,5,0,0,binder:600_2,binder_dependency
62,16.72,False,True,4,5,0,0,binder:600_1,binder_dependency
63,16.711,False,True,2,3,0,0,VizCompositorTh,binder_dependency
64,16.745,False,True,5,8,0,0,binder:1209_8,binder_dependency
65,16.723,False,True,2,4,0,0,binder:5364_6,binder_dependency
66,16.728,False,True,2,4,0,0,VizCompositorTh,binder_dependency
67,16.723,False,True,3,7,0,0,binder:600_1,binder_dependency
68,16.718,False,True,1,3,0,0,binder:5364_6,binder_dependency
69,16.717,False,True,2,4,0,0,binder:5364_6,binder_dependency
70,16.748,False,True,2,4,0,0,VizCompositorTh,binder_dependency
71,16.726,False,True,3,6,0,0,binder:600_1,binder_dependency
72,16.719,False,True,2,2,0,0,CompositorGpuTh,binder_dependency
73,16.723,False,True,2,3,0,0,VizCompositorTh,binder_dependency
74,16.711,False,True,2,2,0,0,VizCompositorTh,binder_dependency
75,16.731,False,True,3,6,0,0,HwBinder:602_2,binder_dependency
76,16.72,False,True,1,3,0,0,binder:5364_3,binder_dependency
77,16.732,False,True,5,11,0,0,HwBinder:602_2,binder_dependency
78,16.72,False,True,2,3,0,0,binder:600_1,binder_dependency
79,16.727,False,True,4,9,0,0,binder:5364_6,binder_dependency
80,16.725,False,True,2,2,0,0,VizCompositorTh,binder_dependency
81,16.727,False,True,1,1,0,0,CompositorGpuTh,scheduler_or_render_work
82,16.734,False,True,4,10,0,0,binder:600_1,binder_dependency
83,16.724,False,True,3,6,2,0,binder:600_1,binder_dependency
84,16.719,False,True,4,9,0,0,HwBinder:602_2,binder_dependency
85,16.725,False,True,3,5,2,0,CompositorGpuTh,binder_dependency
86,16.722,False,True,4,9,0,0,HwBinder:602_2,binder_dependency
87,16.723,False,True,3,8,2,0,binder:5364_4,binder_dependency
88,16.878,False,True,5,11,0,0,HwBinder:602_2,binder_dependency
89,16.568,False,True,5,10,0,0,binder:600_1,binder_dependency
90,16.716,False,True,6,12,2,0,HwBinder:602_2,binder_dependency
91,16.711,False,True,5,13,0,0,binder:600_1,binder_dependency
92,16.734,False,True,5,12,0,0,HwBinder:602_2,binder_dependency
93,16.728,False,True,5,12,0,0,HwBinder:602_2,binder_dependency
94,16.718,False,True,5,11,2,0,HwBinder:602_2,binder_dependency
95,16.723,False,True,6,13,0,0,HwBinder:602_2,binder_dependency
96,16.717,False,True,6,11,2,0,binder:600_1,binder_dependency
97,16.73,False,True,5,12,0,0,HwBinder:602_2,binder_dependency
98,16.737,False,True,4,8,2,0,binder:600_1,binder_dependency
99,16.727,False,True,6,14,2,0,binder:600_1,binder_dependency
100,16.723,False,True,5,12,0,0,HwBinder:602_2,binder_dependency
101,16.729,False,True,5,10,2,0,binder:600_1,binder_dependency
102,16.715,False,True,6,12,2,0,HwBinder:602_2,binder_dependency
103,16.733,False,True,6,14,2,0,binder:600_1,binder_dependency
104,16.717,False,True,6,13,2,0,binder:600_1,binder_dependency
105,16.726,False,True,6,13,2,0,binder:600_1,binder_dependency
106,16.722,False,True,4,10,2,0,HwBinder:602_2,binder_dependency
107,33.57,True,True,8,18,2,0,binder:600_1,binder_dependency
108,300.984,True,True,33,67,2,0,binder:600_1,binder_dependency
109,16.595,False,True,6,14,2,0,binder:600_1,binder_dependency
110,16.732,False,True,6,14,2,0,binder:600_1,binder_dependency
111,16.722,False,True,6,13,2,0,binder:600_1,binder_dependency
112,16.722,False,True,6,13,2,0,binder:600_1,binder_dependency
113,16.724,False,True,6,13,2,0,binder:600_1,binder_dependency
114,16.736,False,True,7,16,2,0,binder:600_1,binder_dependency
115,16.715,False,True,6,14,2,0,binder:600_1,binder_dependency
116,16.729,False,True,6,13,2,0,binder:600_1,binder_dependency
117,16.72,False,True,6,14,2,0,binder:600_1,binder_dependency
118,16.726,False,True,10,20,2,0,binder:2200_4,binder_dependency
119,16.903,False,True,6,14,2,0,binder:600_1,binder_dependency
120,16.536,False,True,7,15,2,0,binder:600_1,binder_dependency
121,16.729,False,True,6,13,2,0,binder:600_1,binder_dependency
122,16.727,False,True,14,25,2,0,binder:891_1,binder_dependency
123,16.725,False,True,6,13,2,0,binder:600_1,binder_dependency
124,16.72,False,True,6,13,2,0,binder:600_1,binder_dependency
125,16.728,False,True,4,11,2,0,HwBinder:602_2,binder_dependency
