tid,comm,on_cpu_ms,migration_count,wakeup_to_run_count,wakeup_to_run_p95_ms,wakeup_to_run_p99_ms,runnable_delay_count,runnable_delay_p95_ms,runnable_delay_p99_ms,sched_switch_in,sched_switch_out,sched_waking,sched_wakeup,thread_class,class_reason
5507,CompositorGpuTh,2885.912,5303,11492,0.055,0.206,94,0.14,0.266,13255,13256,11701,11701,key,name_match_render_or_chrome_pipeline
16550,Compositor,2364.842,6097,9730,0.217,0.347,104,0.136,0.22,11106,11105,9732,9732,key,name_match_render_or_chrome_pipeline
5488,VizCompositorTh,2185.825,5200,8251,0.174,0.453,392,0.114,0.248,9244,9244,8251,8251,key,name_match_render_or_chrome_pipeline
3719,.android.chrome,1733.75,3627,4995,0.263,0.509,506,0.128,0.395,5740,5739,4995,4995,key,name_match_render_or_chrome_pipeline
16544,CrRendererMain,1392.556,3063,4769,0.286,0.558,262,0.172,0.28,5045,5046,4769,4769,key,name_match_render_or_chrome_pipeline
652,RenderEngine,739.978,709,1394,0.066,0.149,3,0.047,0.047,1397,1396,1734,1734,key,name_match_render_or_chrome_pipeline
4077,Chrome_IOThread,428.633,2570,4000,0.3,0.51,37,0.115,0.38,4067,4066,4004,4004,key,name_match_render_or_chrome_pipeline
5414,CrGpuMain,361.197,1261,2735,0.119,0.259,28,0.193,0.194,2833,2833,2980,2980,key,name_match_render_or_chrome_pipeline
5487,Chrome_ChildIOT,244.816,1729,2450,0.176,0.29,20,0.19,0.231,2501,2501,2450,2450,key,high_cpu_or_scheduler_activity
2044,RenderThread,80.614,90,170,0.188,0.338,20,0.27,0.58,226,226,173,173,key,name_match_render_or_chrome_pipeline
16548,Chrome_ChildIOT,58.824,443,603,0.19,0.401,21,0.098,0.153,635,635,603,603,key,high_cpu_or_scheduler_activity
15405,CrRendererMain,5.45,0,4,0.094,0.094,0,0.0,0.0,4,4,4,4,key,name_match_render_or_chrome_pipeline
15456,CrRendererMain,5.057,3,5,0.059,0.059,0,0.0,0.0,5,5,5,5,key,name_match_render_or_chrome_pipeline
10994,RenderThread,3.357,24,36,0.141,0.24,4,0.233,0.233,40,40,36,36,key,name_match_render_or_chrome_pipeline
16804,MemoryInfra,1.954,0,0,0.0,0.0,0,0.0,0.0,1,1,0,0,non_key,low_activity_or_unknown_role
5290,CronetInit,1.825,2,5,18.675,18.675,4,1.477,1.477,13,13,5,5,non_key,low_activity_or_unknown_role
15409,Chrome_ChildIOT,0.812,0,4,1.753,1.753,0,0.0,0.0,4,4,4,4,non_key,low_activity_or_unknown_role
3374,CronetInit,0.781,0,2,2.518,2.518,0,0.0,0.0,3,3,2,2,non_key,low_activity_or_unknown_role
15460,Chrome_ChildIOT,0.61,1,4,0.048,0.048,0,0.0,0.0,4,4,4,4,non_key,low_activity_or_unknown_role
11633,Chrome_IOThread,0.556,2,3,7.258,7.258,0,0.0,0.0,3,3,3,3,key,name_match_render_or_chrome_pipeline
4612,ConscryptStatsL,0.479,0,1,0.061,0.061,1,0.109,0.109,2,2,1,1,non_key,background_or_auxiliary_name
11611,Chrome_ProcessL,0.396,1,2,7.304,7.304,0,0.0,0.0,2,2,2,2,non_key,low_activity_or_unknown_role
16692,allocateBuffers,0.349,0,0,0.0,0.0,0,0.0,0.0,4,4,0,0,non_key,background_or_auxiliary_name
3960,RenderThread,0.271,3,5,3.473,3.473,0,0.0,0.0,5,5,5,5,key,name_match_render_or_chrome_pipeline
5508,GpuWatchdog_Com,0.166,1,2,0.077,0.077,0,0.0,0.0,2,2,2,2,non_key,background_or_auxiliary_name
5434,GpuWatchdog,0.152,1,2,0.047,0.047,0,0.0,0.0,2,2,2,2,non_key,background_or_auxiliary_name
15462,Compositor,0.098,0,1,0.144,0.144,0,0.0,0.0,1,1,1,1,key,name_match_render_or_chrome_pipeline
16329,ConscryptStatsL,0.076,1,2,4.674,4.674,0,0.0,0.0,2,2,2,2,non_key,background_or_auxiliary_name
16459,ConscryptStatsL,0.073,1,2,3.056,3.056,0,0.0,0.0,2,2,2,2,non_key,background_or_auxiliary_name
4639,RenderThread,0.065,2,3,6.424,6.424,0,0.0,0.0,3,3,3,3,key,name_match_render_or_chrome_pipeline
8116,Primes-nativecr,0.057,0,1,3.783,3.783,0,0.0,0.0,1,1,1,1,non_key,low_activity_or_unknown_role
8287,CronetInit,0.056,0,1,4.037,4.037,0,0.0,0.0,1,1,1,1,non_key,low_activity_or_unknown_role
12535,Chrome_InProcGp,0.036,0,1,2.234,2.234,0,0.0,0.0,1,1,1,1,non_key,low_activity_or_unknown_role
12509,Chrome_IOThread,0.035,0,1,2.212,2.212,0,0.0,0.0,1,1,1,1,key,name_match_render_or_chrome_pipeline
12502,Chrome_ProcessL,0.026,0,1,2.188,2.188,0,0.0,0.0,1,1,1,1,non_key,low_activity_or_unknown_role
12482,RenderThread,0.026,0,1,2.172,2.172,0,0.0,0.0,1,1,1,1,key,name_match_render_or_chrome_pipeline
3218,yt-critical Thr,0.024,0,1,2.514,2.514,0,0.0,0.0,1,1,1,1,non_key,low_activity_or_unknown_role
12533,VizWebView,0.024,0,1,2.229,2.229,0,0.0,0.0,1,1,1,1,non_key,low_activity_or_unknown_role
6733,Primes-nativecr,0.024,0,1,2.47,2.47,0,0.0,0.0,1,1,1,1,non_key,low_activity_or_unknown_role
3389,Primes-nativecr,0.023,0,1,0.248,0.248,0,0.0,0.0,1,1,1,1,non_key,low_activity_or_unknown_role
12536,Chrome_ChildIOT,0.022,0,1,2.23,2.23,0,0.0,0.0,1,1,1,1,non_key,low_activity_or_unknown_role
