# tracer: nop
#
# entries-in-buffer/entries-written: 1818/77669   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
    kworker/7:2H-11260   [007] ..... 44539.639777: block_rq_issue: 8,0 W 524288 () 97724608 + 1024 [kworker/7:2H]
          <idle>-0       [007] .Ns1. 44539.640638: block_rq_complete: 8,0 W () 97693888 + 1024 [0]
    kworker/7:2H-11260   [007] ..... 44539.641103: block_rq_issue: 8,0 W 524288 () 97725632 + 1024 [kworker/7:2H]
  binder:25132_3-25144   [007] ..... 44540.293298: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 .android.chrome-25132   [007] ..... 44541.593338: binder_transaction: transaction=3956379 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44541.593405: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44541.643120: binder_transaction: transaction=3956394 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44541.643186: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44541.676486: binder_transaction: transaction=3956405 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44541.676561: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    RenderThread-25167   [007] ..... 44542.469547: binder_transaction: transaction=3956683 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [007] ..... 44542.469657: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    RenderThread-25167   [007] ..... 44542.535342: binder_transaction: transaction=3956704 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [007] ..... 44542.535487: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44543.381477: binder_transaction: transaction=3956998 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44543.381546: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:25132_3-25144   [007] ..... 44543.384362: binder_transaction_received: transaction=3957000
  binder:25132_3-25144   [007] ..... 44543.384707: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 .android.chrome-25132   [007] ..... 44543.699264: binder_transaction: transaction=3957114 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44543.699335: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44543.983007: binder_transaction: transaction=3957223 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44543.983080: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:25132_3-25144   [007] ..... 44543.985124: binder_transaction_received: transaction=3957225
  binder:25132_3-25144   [007] ..... 44543.985514: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 .android.chrome-25132   [007] ..... 44544.066952: binder_transaction: transaction=3957251 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44544.067021: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44545.286934: binder_transaction: transaction=3957666 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44545.287006: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:25132_3-25144   [007] ..... 44545.290314: binder_transaction_received: transaction=3957668
  binder:25132_3-25144   [007] ..... 44545.290677: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 .android.chrome-25132   [007] ..... 44545.638023: binder_transaction: transaction=3957773 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44545.638097: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44545.654658: binder_transaction: transaction=3957779 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44545.654717: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44545.771624: binder_transaction: transaction=3957814 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44545.771701: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44545.804976: binder_transaction: transaction=3957825 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44545.805151: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:903_1-941     [007] ..... 44545.965502: binder_transaction_received: transaction=3957886
    binder:903_1-941     [007] ..... 44545.966127: binder_transaction: transaction=3957887 dest_node=0 dest_proc=2109 dest_thread=3022 reply=1 flags=0x0 code=0x0
    binder:903_1-941     [007] ..... 44545.966198: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:903_1-941     [007] ..... 44545.966212: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:903_1-941     [007] ..... 44545.966763: binder_transaction_received: transaction=3957888
    binder:903_1-941     [007] ..... 44545.967132: binder_transaction: transaction=3957889 dest_node=0 dest_proc=2109 dest_thread=3022 reply=1 flags=0x0 code=0x0
    binder:903_1-941     [007] ..... 44545.967182: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:903_1-941     [007] ..... 44545.967197: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    RenderThread-25167   [007] ..... 44546.381284: binder_transaction: transaction=3958030 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [007] ..... 44546.381386: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44546.389696: binder_transaction: transaction=3958031 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44546.389778: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44546.406554: binder_transaction: transaction=3958037 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44546.406663: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44546.790884: binder_transaction: transaction=3958175 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44546.790957: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_2-647     [007] ..... 44547.392181: binder_transaction_received: transaction=3958379
    binder:600_2-647     [007] ..... 44547.392237: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
   Dns_100_10167-25651   [007] ..... 44547.615810: binder_transaction: transaction=3958470 dest_node=12103 dest_proc=1216 dest_thread=0 reply=0 flags=0x11 code=0x1
   Dns_100_10167-25651   [007] ..... 44547.615831: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
   Dns_100_10167-25651   [007] ..... 44547.615854: binder_transaction: transaction=3958471 dest_node=12747 dest_proc=1216 dest_thread=0 reply=0 flags=0x11 code=0x1
   Dns_100_10167-25651   [007] ..... 44547.615870: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44547.893838: binder_transaction: transaction=3958557 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44547.893910: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:994_3-3054    [007] ..... 44547.908787: binder_transaction_received: transaction=3958563
    binder:994_3-3054    [007] ..... 44547.909201: binder_transaction: transaction=3958564 dest_node=0 dest_proc=1216 dest_thread=1881 reply=1 flags=0x0 code=0x0
    binder:994_3-3054    [007] ..... 44547.909246: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:994_3-3054    [007] ..... 44547.909265: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 .android.chrome-25132   [007] ..... 44547.910091: binder_transaction: transaction=3958566 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44547.910155: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_2-647     [007] ..... 44547.943535: binder_transaction_received: transaction=3958587
    binder:600_2-647     [007] ..... 44547.943587: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 .android.chrome-25132   [007] ..... 44548.077739: binder_transaction: transaction=3958638 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44548.077884: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44548.663159: binder_transaction: transaction=3958824 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44548.663236: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    RenderThread-25167   [007] ..... 44548.787638: binder_transaction: transaction=3958863 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [007] ..... 44548.787796: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_2-647     [007] ..... 44548.796002: binder_transaction_received: transaction=3958864
    binder:600_2-647     [007] ..... 44548.796056: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 .android.chrome-25132   [007] ..... 44550.300435: binder_transaction: transaction=3959366 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44550.300517: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44550.534404: binder_transaction: transaction=3959438 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44550.534475: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44550.935449: binder_transaction: transaction=3959580 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44550.935520: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44550.952096: binder_transaction: transaction=3959587 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44550.952165: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:25132_3-25144   [007] ..... 44550.954093: binder_transaction_received: transaction=3959589
  binder:25132_3-25144   [007] ..... 44550.954463: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 .android.chrome-25132   [007] ..... 44550.985498: binder_transaction: transaction=3959597 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44550.985579: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44551.035306: binder_transaction: transaction=3959621 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44551.035369: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 ThreadPoolSingl-25221   [007] ..... 44551.576574: block_rq_issue: 8,0 RA 12288 () 20398728 + 24 [ThreadPoolSingl]
 ThreadPoolSingl-25221   [007] ..... 44551.576625: block_rq_issue: 8,0 RA 8192 () 20398768 + 16 [ThreadPoolSingl]
 ThreadPoolSingl-25221   [007] ..... 44551.576737: block_rq_issue: 8,0 RA 4096 () 20398800 + 8 [ThreadPoolSingl]
 ThreadPoolSingl-25221   [007] ..... 44551.576765: block_rq_issue: 8,0 RA 4096 () 20398816 + 8 [ThreadPoolSingl]
 ThreadPoolSingl-25221   [007] ..s1. 44551.576782: block_rq_complete: 8,0 RA () 20398728 + 24 [0]
 ThreadPoolSingl-25221   [007] ..s.. 44551.576815: block_rq_complete: 8,0 RA () 20398768 + 16 [0]
