tid,comm,on_cpu_ms,migration_count,wakeup_to_run_count,wakeup_to_run_p95_ms,wakeup_to_run_p99_ms,runnable_delay_count,runnable_delay_p95_ms,runnable_delay_p99_ms,sched_switch_in,sched_switch_out,sched_waking,sched_wakeup
9953,CompositorGpuTh,1109.56,2519,5103,0.047,0.165,75,0.073,0.093,5877,5877,5266,5266
11158,Compositor,955.978,3206,5419,0.168,0.294,98,0.154,0.364,5852,5853,5420,5420
9942,VizCompositorTh,800.063,2360,3703,0.133,0.34,317,0.078,0.184,4203,4203,3703,3703
9780,.android.chrome,762.779,1503,2200,0.2,0.522,344,0.078,0.161,2589,2589,2201,2201
11150,CrRendererMain,594.37,1350,2058,0.231,0.481,240,0.143,0.309,2307,2307,2058,2058
9912,CrGpuMain,355.309,804,1645,0.085,0.231,50,0.174,0.199,1764,1764,2554,2555
645,RenderEngine,339.749,335,616,0.095,0.299,2,0.032,0.032,619,619,796,796
9871,Chrome_IOThread,124.942,778,1271,0.343,0.472,17,0.095,0.307,1301,1301,1271,1271
9941,Chrome_ChildIOT,121.021,961,1360,0.134,0.235,28,0.193,0.211,1413,1413,1360,1360
2078,RenderThread,108.392,74,168,0.396,0.54,2,0.033,0.033,214,214,169,169
11156,Chrome_ChildIOT,34.717,328,418,0.145,0.344,24,0.065,0.075,460,460,418,418
17333,CronetInit,5.025,1,2,0.363,0.363,0,0.0,0.0,4,3,2,2
9801,RenderThread,3.617,25,28,0.221,0.385,1,0.959,0.959,33,33,28,28
30631,CronetInit,3.525,0,1,0.068,0.068,0,0.0,0.0,1,0,1,1
7941,CronetInit,3.073,2,6,0.451,0.451,1,0.045,0.045,14,14,6,6
17585,CronetInit,2.169,0,2,0.047,0.047,0,0.0,0.0,2,1,2,2
9865,CrRendererMain,1.414,0,1,0.125,0.125,0,0.0,0.0,1,1,1,1
9914,GpuWatchdog,0.912,2,3,0.324,0.324,0,0.0,0.0,3,3,3,3
11807,allocateBuffers,0.788,0,0,0.0,0.0,1,0.134,0.134,5,5,0,0
21986,CronetInit,0.689,1,2,0.287,0.287,0,0.0,0.0,2,3,2,2
12781,CrRendererMain,0.606,0,1,0.078,0.078,1,0.054,0.054,2,2,1,1
12673,Chrome_IOThread,0.524,0,1,0.096,0.096,0,0.0,0.0,1,1,1,1
9929,Chrome_ChildIOT,0.479,0,1,0.659,0.659,0,0.0,0.0,1,1,1,1
9954,GpuWatchdog_Com,0.462,0,3,0.125,0.125,0,0.0,0.0,3,3,3,3
31303,CronetInit,0.277,0,1,0.289,0.289,0,0.0,0.0,1,1,1,1
26536,Chrome_ChildIOT,0.23,0,1,0.179,0.179,0,0.0,0.0,1,1,1,1
22328,RenderThread,0.101,0,3,0.215,0.215,0,0.0,0.0,3,3,3,3
22386,ConscryptStatsL,0.057,1,2,0.243,0.243,0,0.0,0.0,2,2,2,2
13088,MMCrashANRThrea,0.051,0,1,0.294,0.294,0,0.0,0.0,1,1,1,1
12959,CronetInit,0.049,0,1,0.038,0.038,0,0.0,0.0,1,1,1,1
13104,CronetInit,0.041,0,1,0.159,0.159,0,0.0,0.0,1,1,1,1
13090,MMCrashANRThrea,0.038,0,1,0.314,0.314,0,0.0,0.0,1,1,1,1
12943,MMCrashANRThrea,0.033,0,1,0.097,0.097,0,0.0,0.0,1,1,1,1
12945,MMCrashANRThrea,0.027,0,1,0.094,0.094,0,0.0,0.0,1,1,1,1
