"frame_number","intended_vsync_ns","expected_start_ns","expected_end_ns","actual_present_ns","is_jank","delay_ms"
25778547,429372877619896,429372877619896,429372894286562,429372865733256,1,-11.886640
25778578,429372894335866,429372894335866,429372911002532,429372883119527,1,-11.216339
25778609,429372911051731,429372911051731,429372927718397,429372898505147,1,-12.546584
25778640,429372927760347,429372927760347,429372944427013,429372914575826,1,-13.184521
25778671,429372944474896,429372944474896,429372961141562,429372931314026,1,-13.160870
25778702,429372961185018,429372961185018,429372977851684,429372947778910,1,-13.406108
25778733,429372977906636,429372977906636,429372994573302,429372964506653,1,-13.399983
25778764,429372994618746,429372994618746,429373011285412,429372981381449,1,-13.237297
25778795,429373011332471,429373011332471,429373027999137,429372997748393,1,-13.584078
25778826,429373028048461,429373028048461,429373044715127,429373015502421,1,-12.546040
25778857,429373044760855,429373044760855,429373061427521,429373031350036,1,-13.410819
25778888,429373061475587,429373061475587,429373078142253,429373047640116,1,-13.835471
25778919,429373078190424,429373078190424,429373094857090,429373064112772,1,-14.077652
25778950,429373094905071,429373094905071,429373111571737,429373081312235,1,-13.592836
25778981,429373111614241,429373111614241,429373128280907,429373098514465,1,-13.099776
25779012,429373128328725,429373128328725,429373144995391,429373114631653,1,-13.697072
25779043,429373145035349,429373145035349,429373161702015,429373131863098,1,-13.172251
25779074,429373161754496,429373161754496,429373178421162,429373148095723,1,-13.658773
25779099,429373178462637,429373178462637,429373195129303,429373166548970,1,-11.913667
25779124,429373195169182,429373195169182,429373211835848,429373181482971,1,-13.686211
25779149,429373211884307,429373211884307,429373228550973,429373198532369,1,-13.351938
25779174,429373228600504,429373228600504,429373245267170,429373215880432,1,-12.720072
25779199,429373245314467,429373245314467,429373261981133,429373231846293,1,-13.468174
25779224,429373262027240,429373262027240,429373278693906,429373248460876,1,-13.566364
25779243,429373278736811,429373278736811,429373295403477,429373265063782,1,-13.673029
25779262,429373295454369,429373295454369,429373312121035,429373281710510,1,-13.743859
25779281,429373312168959,429373312168959,429373328835625,429373298107442,1,-14.061517
25779300,429373328871554,429373328871554,429373345538220,429373314713033,1,-14.158521
25779319,429373345589327,429373345589327,429373362255993,429373331690776,1,-13.898551
25779338,429373362294151,429373362294151,429373378960817,429373348353617,1,-13.940534
25779357,429373379017366,429373379017366,429373395684032,429373366807638,1,-12.209728
25779376,429373395731682,429373395731682,429373412398348,429373383386414,1,-12.345268
25779395,429373412447675,429373412447675,429373429114341,429373400022685,1,-12.424990
25779414,429373429160178,429373429160178,429373445826844,429373415109151,1,-14.051027
25779433,429373445903313,429373445903313,429373462569979,429373431976135,1,-13.927178
25779452,429373462608028,429373462608028,429373479274694,429373448365621,1,-14.242407
25779471,429373479321487,429373479321487,429373495988153,429373465142965,1,-14.178522
25779490,429373496036477,429373496036477,429373512703143,429373482233256,1,-13.803221
25779509,429373512749716,429373512749716,429373529416382,429373498683655,1,-14.066061
25779534,429373529464002,429373529464002,429373546130668,429373515512594,1,-13.951408
25779553,429373546168502,429373546168502,429373562835168,429373532335754,1,-13.832748
25779572,429373562882247,429373562882247,429373579548913,429373550361186,1,-12.521061
25779585,429373579601028,429373579601028,429373596267694,429373564595317,1,-15.005711
25779610,429373596320193,429373596320193,429373612986859,429373581575989,1,-14.744204
25779629,429373613029527,429373613029527,429373629696193,429373598007182,1,-15.022345
25779642,429373629745969,429373629745969,429373646412635,429373614624329,1,-15.121640
25779655,429373646461236,429373646461236,429373663127902,429373634368388,1,-12.092848
25779668,429373663179060,429373663179060,429373679845726,429373648583883,1,-14.595177
25779681,429373679911812,429373679911812,429373696578478,429373665012512,1,-14.899300
25779694,429373696616414,429373696616414,429373713283080,429373681731588,1,-14.884826
25779701,429373713335870,429373713335870,429373730002536,429373698088033,1,-15.247837
25779708,429373730045841,429373730045841,429373746712507,429373714957133,1,-15.088708
25779721,429373746758510,429373746758510,429373763425176,429373731781799,1,-14.976711
25779741,429373763468635,429373763468635,429373780135301,429373748328186,1,-15.140449
25779760,429373780180543,429373780180543,429373796847209,429373765722636,1,-14.457907
25779779,429373796911298,429373796911298,429373813577964,429373781664978,1,-15.246320
25779792,429373813617872,429373813617872,429373830284538,429373798483093,1,-15.134779
25779805,429373830336152,429373830336152,429373847002818,429373815449280,1,-14.886872
25779818,429373847046622,429373847046622,429373863713288,429373831867005,1,-15.179617
25779831,429373863758290,429373863758290,429373880424956,429373848549337,1,-15.208953
25779844,429373880465771,429373880465771,429373897132437,429373865480571,1,-14.985200
25779857,429373897176778,429373897176778,429373913843444,429373881940410,1,-15.236368
25779870,429373913888927,429373913888927,429373930555593,429373898796122,1,-15.092805
25779883,429373930600545,429373930600545,429373947267211,429373915290833,1,-15.309712
25780175,429374548969970,429374548969970,429374565636636,429374533892843,1,-15.077127
25780194,429374565668704,429374565668704,429374582335370,429374550596253,0,0.000000
25780207,429374582382591,429374582382591,429374599049257,429374569667379,0,0.000000
25780220,429374599059534,429374599059534,429374615726200,429374586116435,0,0.000000
25780306,429374799599601,429374799599601,429374816266267,429374784953838,0,0.000000
25780326,429374816316507,429374816316507,429374832983173,429374803731344,1,-12.585163
25780357,429374833032339,429374833032339,429374849699005,429374821274150,0,0.000000
25780376,429374849747599,429374849747599,429374866414265,429374837823792,1,-11.923807
25780395,429374866457428,429374866457428,429374883124094,429374854063864,1,-12.393564
25780408,429374883179925,429374883179925,429374899846591,429374868962179,1,-14.217746
25780427,429374899891781,429374899891781,429374916558447,429374885873475,1,-14.018306
25780452,429374916614416,429374916614416,429374933281082,429374904369569,1,-12.244847
25780471,429374933328696,429374933328696,429374949995362,429374920603577,1,-12.725119
25780490,429374950041289,429374950041289,429374966707955,429374938311870,1,-11.729419
25780509,429374966754650,429374966754650,429374983421316,429374954581808,1,-12.172842
25780534,429374983472617,429374983472617,429375000139283,429374971306377,1,-12.166240
25780553,429375000182196,429375000182196,429375016848862,429374986407777,1,-13.774419
25780572,429375016906170,429375016906170,429375033572836,429375003053936,1,-13.852234
25780591,429375033618758,429375033618758,429375050285424,429375020035096,1,-13.583662
25780610,429375050330316,429375050330316,429375066996982,429375036646261,1,-13.684055
25780635,429375067053789,429375067053789,429375083720455,429375053443828,1,-13.609961
25780654,429375083791582,429375083791582,429375100458248,429375070486268,1,-13.305314
25780679,429375100499352,429375100499352,429375117166018,429375087218242,1,-13.281110
25780698,429375117226066,429375117226066,429375133892732,429375102725485,1,-14.500581
25780723,429375133970589,429375133970589,429375150637255,429375120682883,1,-13.287706
25780748,429375150695693,429375150695693,429375167362359,429375138440166,1,-12.255527
25780773,429375167408911,429375167408911,429375184075577,429375154722230,1,-12.686681
25780798,429375184114476,429375184114476,429375200781142,429375172300558,1,-11.813918
25780823,429375200831384,429375200831384,429375217498050,429375188232931,1,-12.598453
25780848,429375217538029,429375217538029,429375234204695,429375204807923,1,-12.730106
25780873,429375234255648,429375234255648,429375250922314,429375222841777,1,-11.413871
25780898,429375250964155,429375250964155,429375267630821,429375238584494,1,-12.379661
25780923,429375267685114,429375267685114,429375284351780,429375255914857,1,-11.770257
25780948,429375284387697,429375284387697,429375301054363,429375270827170,1,-13.560527
25780973,429375301105770,429375301105770,429375317772436,429375287331768,1,-13.774002
25780998,429375317815833,429375317815833,429375334482499,429375303872743,1,-13.943090
25781029,429375334528752,429375334528752,429375351195418,429375320527446,1,-14.001306
25781054,429375351237026,429375351237026,429375367903692,429375336603252,1,-14.633774
25781085,429375367947953,429375367947953,429375384614619,429375353140565,1,-14.807388
25781110,429375384663263,429375384663263,429375401329929,429375370022035,0,0.000000
25781129,429375401378960,429375401378960,429375418045626,429375387794902,1,-13.584058
25781172,429375451506079,429375451506079,429375468172745,429375437175111,1,-14.330968
25781185,429375468219919,429375468219919,429375484886585,429375453848451,1,-14.371468
25781210,429375501648701,429375501648701,429375518315367,429375487279400,0,0.000000
25781230,429375518391312,429375518391312,429375535057978,429375503715191,1,-14.676121
25781243,429375535102093,429375535102093,429375551768759,429375521408387,1,-13.693706
