window_sec,window_start_ns,window_end_ns,total_events,sched_switch,sched_waking,sched_wakeup,cpu_frequency
0,86645483508859,86646483508859,241812,115953,62667,62652,540
1,86646483508859,86647483508859,234980,114493,59807,59806,874
2,86647483508859,86648483508859,162327,78801,41081,41081,1364
3,86648483508859,86649483508859,144298,70250,36408,36408,1232
4,86649483508859,86650483508859,78638,37133,20147,20146,1212
5,86650483508859,86651483508859,143417,69689,36285,36285,1158
6,86651483508859,86652483508859,127581,61472,32402,32401,1306
7,86652483508859,86653483508859,144272,70140,36415,36413,1304
8,86653483508859,86654483508859,152459,74196,38552,38553,1158
9,86654483508859,86655483508859,139457,67596,35463,35462,936
10,86655483508859,86656483508859,135108,64461,34890,34891,866
11,86656483508859,86657483508859,137422,66936,34802,34802,882
12,86657483508859,86658483508859,120699,58716,30520,30519,944
13,86658483508859,86659483508859,126201,61355,31924,31924,998
14,86659483508859,86660483508859,133884,65131,33786,33787,1180
15,86660483508859,86661483508859,88181,42393,22328,22328,1132
16,86661483508859,86662483508859,84945,40744,21588,21585,1028
17,86662483508859,86663483508859,82717,39676,20928,20927,1186
18,86663483508859,86664483508859,108703,52898,27521,27520,764
19,86664483508859,86665483508859,118550,58000,29902,29902,746
20,86665483508859,86666483508859,101248,49199,25597,25596,856
21,86666483508859,86667483508859,123962,60458,31262,31262,980
22,86667483508859,86668483508859,117450,57089,29741,29740,880
23,86668483508859,86669483508859,149262,72930,37652,37652,1028
24,86669483508859,86670483508859,134959,65804,34152,34147,856
25,86670483508859,86671483508859,132724,64881,33548,33549,746
26,86671483508859,86672483508859,147910,71985,37461,37462,1002
27,86672483508859,86673483508859,128292,62734,32334,32334,890
28,86673483508859,86674483508859,114267,55845,28818,28818,786
29,86674483508859,86675483508859,95706,46279,24239,24235,953
30,86675483508859,86676483508859,94392,45534,23900,23900,1058
31,86676483508859,86677483508859,106978,52128,27026,27026,798
32,86677483508859,86678483508859,112367,54601,28415,28415,936
33,86678483508859,86679483508859,108315,52715,27314,27314,972
34,86679483508859,86680483508859,116817,57279,29427,29425,686
35,86680483508859,86681483508859,102576,50236,25822,25822,696
36,86681483508859,86682483508859,116723,57466,29358,29359,540
37,86682483508859,86683483508859,94569,46393,23731,23731,714
38,86683483508859,86684483508859,73196,35670,18439,18439,648
39,86684483508859,86685483508859,78632,38350,19816,19816,650
40,86685483508859,86686483508859,85617,41711,21509,21509,888
41,86686483508859,86687483508859,91548,44408,23117,23115,908
42,86687483508859,86688483508859,70476,34264,17747,17749,716
43,86688483508859,86689483508859,60800,29447,15320,15319,714
44,86689483508859,86690483508859,76678,37262,19326,19326,764
45,86690483508859,86691483508859,94865,46180,23928,23929,828
46,86691483508859,86692483508859,87865,42473,22254,22254,884
47,86692483508859,86693483508859,106723,51558,27129,27130,906
48,86693483508859,86694483508859,127564,62495,32223,32222,624
49,86694483508859,86695483508859,123995,60637,31272,31272,814
50,86695483508859,86696483508859,105578,51026,26757,26757,1038
51,86696483508859,86697483508859,98187,47407,24875,24875,1030
52,86697483508859,86698483508859,105534,51234,26739,26739,822
53,86698483508859,86699483508859,93165,45208,23560,23559,838
54,86699483508859,86700483508859,78225,37588,19785,19786,1066
55,86700483508859,86701483508859,104612,51328,26305,26305,674
56,86701483508859,86702483508859,89339,43439,22523,22523,854
57,86702483508859,86703483508859,90831,43881,22947,22947,1056
58,86703483508859,86704483508859,113097,54937,28620,28620,920
59,86704483508859,86705483508859,18663,9074,4689,4688,212
