# tracer: nop
#
# entries-in-buffer/entries-written: 1874/215392   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [007] ..s1. 86702.964151: block_rq_complete: 8,0 W () 136681496 + 1024 [0]
          <idle>-0       [007] ..s1. 86702.966203: block_rq_complete: 8,0 W () 136682520 + 1024 [0]
          <idle>-0       [007] ..s1. 86702.967397: block_rq_complete: 8,0 W () 136684568 + 8 [0]
          <idle>-0       [007] ..s1. 86702.967411: block_rq_complete: 8,0 W () 136683544 + 1024 [0]
  binder:31215_2-31224   [007] ..... 86702.970558: binder_transaction_received: transaction=4083493
  binder:31215_2-31224   [007] ..... 86702.970700: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
       Thread-76-31418   [007] ..... 86703.000769: binder_transaction: transaction=4083508 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [007] ..... 86703.000868: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:31215_2-31224   [007] ..... 86703.004985: binder_transaction_received: transaction=4083515
  binder:31215_2-31224   [007] ..... 86703.005141: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 cent.tmgp.sgame-31215   [007] ..... 86703.217625: binder_transaction: transaction=4083648 dest_node=3487205 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 cent.tmgp.sgame-31215   [007] ..... 86703.217639: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 cent.tmgp.sgame-31215   [007] ..... 86703.267900: binder_transaction: transaction=4083685 dest_node=3487205 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 cent.tmgp.sgame-31215   [007] ..... 86703.267915: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:31215_2-31224   [007] ..... 86703.270522: binder_transaction_received: transaction=4083689
  binder:31215_2-31224   [007] ..... 86703.270617: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
##### CPU 6 buffer started ####
 UnityGfxDeviceW-31394   [006] ..... 86703.283056: binder_transaction: transaction=4083700 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [006] ..... 86703.283085: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
       Thread-76-31418   [006] ..... 86703.284474: binder_transaction: transaction=4083701 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [006] ..... 86703.284487: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 cent.tmgp.sgame-31215   [006] ..... 86703.301307: binder_transaction: transaction=4083714 dest_node=3487205 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 cent.tmgp.sgame-31215   [006] ..... 86703.301337: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.313851: binder_transaction_received: transaction=4083722
 android.hardwar-1982    [006] ..... 86703.313900: binder_transaction: transaction=4083723 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [006] ..... 86703.313929: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.313932: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [006] ..... 86703.313939: binder_transaction_received: transaction=4083723
 UnityGfxDeviceW-31394   [006] ..... 86703.316214: binder_transaction: transaction=4083724 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [006] ..... 86703.316254: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 cent.tmgp.sgame-31215   [007] ..... 86703.317902: binder_transaction: transaction=4083726 dest_node=3487205 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 cent.tmgp.sgame-31215   [007] ..... 86703.317914: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_2-650     [006] ..... 86703.334646: binder_transaction_received: transaction=4083738
    binder:600_2-650     [006] ..... 86703.334669: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:600_4-2427    [006] ..... 86703.334951: binder_transaction_received: transaction=4083740
    binder:600_4-2427    [006] ..... 86703.334958: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [007] ..... 86703.348986: binder_transaction: transaction=4083750 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [007] ..... 86703.349013: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  surfaceflinger-600     [007] ..... 86703.351396: binder_transaction: transaction=4083751 dest_node=444 dest_proc=602 dest_thread=0 reply=0 flags=0x10 code=0x23
  surfaceflinger-600     [007] ..... 86703.351415: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  surfaceflinger-600     [007] ..... 86703.351420: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=0
    binder:602_2-602     [007] ..... 86703.351432: binder_transaction_received: transaction=4083751
    binder:602_2-602     [007] ..... 86703.351778: binder_transaction: transaction=4083757 dest_node=0 dest_proc=600 dest_thread=600 reply=1 flags=0x0 code=0x0
    binder:602_2-602     [007] ..... 86703.351790: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:602_2-602     [007] ..... 86703.351800: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:602_2-602     [007] ..... 86703.351802: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [007] ..... 86703.351830: binder_transaction_received: transaction=4083757
    binder:600_2-650     [007] ..... 86703.368320: binder_transaction_received: transaction=4083766
    binder:600_2-650     [007] ..... 86703.368336: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
##### CPU 4 buffer started ####
 android.hardwar-1982    [004] ..... 86703.378062: binder_transaction: transaction=4083775 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [004] ..... 86703.378092: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [004] ..... 86703.378098: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [004] ..... 86703.378112: binder_transaction_received: transaction=4083775
 UnityGfxDeviceW-31394   [004] ..... 86703.381822: binder_transaction: transaction=4083776 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [004] ..... 86703.381864: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  InputProcessor-2285    [004] ..... 86703.383075: binder_transaction: transaction=4083777 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [004] ..... 86703.383093: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [004] ..... 86703.383103: binder_transaction_received: transaction=4083777
 android.hardwar-1982    [004] ..... 86703.383143: binder_transaction: transaction=4083778 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [004] ..... 86703.383161: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [004] ..... 86703.383166: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [004] ..... 86703.383175: binder_transaction_received: transaction=4083778
       Thread-76-31418   [006] ..... 86703.384845: binder_transaction: transaction=4083779 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [006] ..... 86703.384859: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_2-650     [007] ..... 86703.384866: binder_transaction_received: transaction=4083779
    binder:600_2-650     [007] ..... 86703.384882: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 cent.tmgp.sgame-31215   [004] ..... 86703.385045: binder_transaction: transaction=4083780 dest_node=3487205 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 cent.tmgp.sgame-31215   [004] ..... 86703.385065: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_2-650     [007] ..... 86703.385069: binder_transaction_received: transaction=4083780
    binder:600_2-650     [007] ..... 86703.385076: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
     thermal_MID-206     [007] ..... 86703.387002: thermal_temperature: thermal_zone=MID id=10 temp_prev=60000 temp=60000
     thermal_MID-206     [007] ..... 86703.387081: thermal_temperature: thermal_zone=MID id=10 temp_prev=60000 temp=60000
  InputProcessor-2285    [007] ..... 86703.388830: binder_transaction: transaction=4083785 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [007] ..... 86703.388847: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.388855: binder_transaction_received: transaction=4083785
 android.hardwar-1982    [007] ..... 86703.388910: binder_transaction: transaction=4083786 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [007] ..... 86703.388933: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [007] ..... 86703.388937: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [007] ..... 86703.388946: binder_transaction_received: transaction=4083786
    binder:600_2-650     [006] ..... 86703.389540: binder_transaction_received: transaction=4083787
    binder:600_2-650     [006] ..... 86703.389569: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [004] ..... 86703.393711: binder_transaction: transaction=4083789 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [004] ..... 86703.393733: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [004] ..... 86703.393745: binder_transaction_received: transaction=4083789
 android.hardwar-1982    [004] ..... 86703.393786: binder_transaction: transaction=4083790 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [004] ..... 86703.393805: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [004] ..... 86703.393810: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [004] ..... 86703.393850: binder_transaction_received: transaction=4083790
  InputProcessor-2285    [004] ..... 86703.398931: binder_transaction: transaction=4083791 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [004] ..... 86703.398947: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [004] ..... 86703.398970: binder_transaction_received: transaction=4083791
