tid,comm,on_cpu_ms,migration_count,wakeup_to_run_count,wakeup_to_run_p95_ms,wakeup_to_run_p99_ms,runnable_delay_count,runnable_delay_p95_ms,runnable_delay_p99_ms,sched_switch_in,sched_switch_out,sched_waking,sched_wakeup
31334,UnityMain,22042.669,1183,3093,0.098,0.301,2999,0.572,1.949,7854,7837,3093,3093
31394,UnityGfxDeviceW,10231.31,4411,18708,0.096,0.62,1042,1.584,2.066,23888,23877,18769,18769
600,surfaceflinger,4527.546,1879,4629,0.17,0.251,63,0.079,0.134,4713,4708,4630,4630
31215,cent.tmgp.sgame,2047.678,6113,8277,0.142,0.242,50,1.962,2.043,8384,8384,8279,8279
2044,RenderThread,257.2,238,499,0.148,0.5,38,0.756,3.395,674,673,502,502
31235,RenderThread,124.964,1817,2513,0.153,0.294,4,0.227,0.227,2520,2520,2513,2513
31269,cent.tmgp.sgame,113.548,1424,2930,0.126,0.416,2,0.465,0.465,2934,2934,2930,2931
31372,UnityMain,97.459,790,1782,0.112,0.294,2,0.09,0.09,1786,1786,1782,1782
686,surfaceflinger,64.049,1314,1784,1.213,1.96,4,0.523,0.523,1790,1791,1785,1785
31416,UnityMain,56.722,457,922,0.163,0.357,4,5.395,5.395,926,926,922,922
6170,sgame:estPlugin,39.952,36,75,0.125,0.324,4,0.251,0.251,84,84,75,75
6182,sgame:estPlugin,32.655,289,589,0.12,0.277,2,0.167,0.167,595,595,589,589
5414,CrGpuMain,19.06,36,53,15.405,21.92,6,15.389,15.389,79,79,53,53
31228,cent.tmgp.sgame,5.997,72,130,0.076,0.178,0,0.0,0.0,130,130,130,130
5507,CompositorGpuTh,4.575,15,30,1.692,3.249,0,0.0,0.0,39,39,30,30
8477,allocateBuffers,1.243,2,3,0.036,0.036,0,0.0,0.0,11,11,3,3
31441,UnityGfxDeviceW,1.092,1,6,2.309,2.309,0,0.0,0.0,10,10,6,6
10994,RenderThread,0.67,5,5,0.775,0.775,0,0.0,0.0,10,10,5,5
8509,allocateBuffers,0.422,0,1,0.009,0.009,0,0.0,0.0,6,6,1,1
8153,UnityMain,0.314,1,5,0.024,0.024,0,0.0,0.0,5,5,5,5
18872,RenderThread,0.27,3,7,2.852,2.852,1,0.042,0.042,8,8,7,7
3960,RenderThread,0.202,1,3,0.745,0.745,0,0.0,0.0,4,4,3,3
20093,RenderThread,0.164,3,4,0.451,0.451,0,0.0,0.0,4,4,4,4
30247,RenderThread,0.139,2,3,1.43,1.43,0,0.0,0.0,3,3,3,3
20121,RenderThread,0.134,2,3,0.948,0.948,0,0.0,0.0,3,3,3,3
4785,RenderThread,0.112,0,4,0.151,0.151,0,0.0,0.0,4,4,4,4
4484,RenderThread,0.108,2,2,0.501,0.501,0,0.0,0.0,3,3,2,2
5434,GpuWatchdog,0.087,1,1,0.09,0.09,0,0.0,0.0,2,2,1,1
6040,UnityMain,0.077,1,2,0.018,0.018,0,0.0,0.0,2,2,2,2
5508,GpuWatchdog_Com,0.061,0,1,0.234,0.234,0,0.0,0.0,2,2,1,1
12482,RenderThread,0.061,0,2,0.227,0.227,0,0.0,0.0,2,2,2,2
