frame_number,intended_vsync_ns,expected_start_ns,expected_end_ns,actual_present_ns,is_jank,delay_ms
9420410,949922553326908,949922553326908,949922569926908,949922569922857,0,-0.004051
9420447,949922586752408,949922586752408,949922603352408,949922603346318,0,-0.006090
9420484,949922620180042,949922620180042,949922636780042,949922636783615,0,0.003573
9420521,949922653607217,949922653607217,949922670207217,949922670213343,0,0.006126
9420558,949922687035780,949922687035780,949922703635780,949922703640508,0,0.004728
9420595,949922720464676,949922720464676,949922737064676,949922737063684,0,-0.000992
9420632,949922753893098,949922753893098,949922770493098,949922770491867,0,-0.001231
9420669,949922787319839,949922787319839,949922803919839,949922803919235,0,-0.000604
9420706,949922820748486,949922820748486,949922837348486,949922837341721,0,-0.006765
9420743,949922854177677,949922854177677,949922870777677,949922870766932,0,-0.010745
9420780,949922887604240,949922887604240,949922904204240,949922904200241,0,-0.003999
9420817,949922921031784,949922921031784,949922937631784,949922937618128,0,-0.013656
9420854,949922954459143,949922954459143,949922971059143,949922971044276,0,-0.014867
9420892,949922987884263,949922987884263,949923004484263,949923004474777,0,-0.009486
9420929,949923021308449,949923021308449,949923037908449,949923037916875,0,0.008426
9420966,949923054736422,949923054736422,949923071336422,949923071333826,0,-0.002596
9421003,949923088164764,949923088164764,949923104764764,949923104756841,0,-0.007923
9421040,949923121590307,949923121590307,949923138190307,949923138182215,0,-0.008092
9421077,949923155015513,949923155015513,949923171615513,949923171628993,0,0.013480
9421114,949923188440986,949923188440986,949923205040986,949923205078049,0,0.037063
9421151,949923221870947,949923221870947,949923238470947,949923238557500,0,0.086553
9421176,949923255305100,949923255305100,949923271905100,949923271993373,0,0.088273
9421189,949923288750026,949923288750026,949923305350026,949923305356125,0,0.006099
9421202,949923322194746,949923322194746,949923338794746,949923338796677,0,0.001931
9421240,949923355625145,949923355625145,949923372225145,949923372250656,0,0.025511
9421278,949923389058223,949923389058223,949923405658223,949923405674647,0,0.016424
9421297,949923405780837,949923405780837,949923422380837,949923422362879,0,-0.017958
9421353,949923455932233,949923455932233,949923472532233,949923472515956,0,-0.016277
9421372,949923472646430,949923472646430,949923489246430,949923489220791,0,-0.025639
9421409,949923506077494,949923506077494,949923522677494,949923522657843,0,-0.019651
9421446,949923539506210,949923539506210,949923556106210,949923556068202,0,-0.038008
9421483,949923572935767,949923572935767,949923589535767,949923589489426,0,-0.046341
9421520,949923606361355,949923606361355,949923622961355,949923622909511,0,-0.051844
9421545,949923639783605,949923639783605,949923656383605,949923656333623,0,-0.049982
9421582,949923673203416,949923673203416,949923689803416,949923689753912,0,-0.049504
9421619,949923706622135,949923706622135,949923723222135,949923723188605,0,-0.033530
9421656,949923740040770,949923740040770,949923756640770,949923756609909,0,-0.030861
9421693,949923773459278,949923773459278,949923790059278,949923790031947,0,-0.027331
9421730,949923806875712,949923806875712,949923823475712,949923823449549,0,-0.026163
9421767,949923840290216,949923840290216,949923856890216,949923856873216,0,-0.017000
9421804,949923873704935,949923873704935,949923890304935,949923890296149,0,-0.008786
9421841,949923907122108,949923907122108,949923923722108,949923923741298,0,0.019190
9421854,949923940546010,949923940546010,949923957146010,949923957261195,0,0.115185
9421867,949923973976678,949923973976678,949923990576678,949923990581102,0,0.004424
9421904,949924007420633,949924007420633,949924024020633,949924024001471,0,-0.019162
9421941,949924040841459,949924040841459,949924057441459,949924057448695,0,0.007236
9421978,949924074265052,949924074265052,949924090865052,949924090873703,0,0.008651
9422015,949924107693831,949924107693831,949924124293831,949924124307175,0,0.013344
9422052,949924141119825,949924141119825,949924157719825,949924157742112,0,0.022287
9422089,949924174549425,949924174549425,949924191149425,949924191179571,0,0.030146
9422126,949924207980140,949924207980140,949924224580140,949924224609462,0,0.029322
9422163,949924241414753,949924241414753,949924258014753,949924258056850,0,0.042097
9422200,949924274847976,949924274847976,949924291447976,949924291493455,0,0.045479
9422237,949924308285115,949924308285115,949924324885115,949924324933070,0,0.047955
9422274,949924341722828,949924341722828,949924358322828,949924358367234,0,0.044406
9422311,949924375162046,949924375162046,949924391762046,949924391818162,0,0.056116
9422348,949924408600837,949924408600837,949924425200837,949924425237759,0,0.036922
9422385,949924442044589,949924442044589,949924458644589,949924458664475,0,0.019886
9422422,949924475484359,949924475484359,949924492084359,949924492094529,0,0.010170
9422459,949924508921957,949924508921957,949924525521957,949924525517991,0,-0.003966
9422496,949924542357421,949924542357421,949924558957421,949924559004360,0,0.046939
9422534,949924575789862,949924575789862,949924592389862,949924592386969,0,-0.002893
9422553,949924592515893,949924592515893,949924609115893,949924609111213,0,-0.004680
9422590,949924625948533,949924625948533,949924642548533,949924642543870,0,-0.004663
9422627,949924659394133,949924659394133,949924675994133,949924675956834,0,-0.037299
9422664,949924692827179,949924692827179,949924709427179,949924709391322,0,-0.035857
9422701,949924726254071,949924726254071,949924742854071,949924742828497,0,-0.025574
9422738,949924759682721,949924759682721,949924776282721,949924776267583,0,-0.015138
9422793,949924809827984,949924809827984,949924826427984,949924826451830,0,0.023846
9422830,949924843257259,949924843257259,949924859857259,949924859871711,0,0.014452
9422849,949924859977653,949924859977653,949924876577653,949924876599615,0,0.021962
9422886,949924893411524,949924893411524,949924910011524,949924910025641,0,0.014117
9422941,949924943563392,949924943563392,949924960163392,949924960157680,0,-0.005712
9422978,949924976998287,949924976998287,949924993598287,949924993617518,0,0.019231
9422997,949924993712701,949924993712701,949925010312701,949925010318121,0,0.005420
9423034,949925027150440,949925027150440,949925043750440,949925043776821,0,0.026381
9423071,949925060584531,949925060584531,949925077184531,949925077199712,0,0.015181
9423108,949925094026161,949925094026161,949925110626161,949925110626796,0,0.000635
9423121,949925127463573,949925127463573,949925144063573,949925144063564,0,-0.000009
9423134,949925160898809,949925160898809,949925177498809,949925177497605,0,-0.001204
9423147,949925194334204,949925194334204,949925210934204,949925210932379,0,-0.001825
9423160,949925227767928,949925227767928,949925244367928,949925244364996,0,-0.002932
9423185,949925261208153,949925261208153,949925277808153,949925277790696,0,-0.017457
9423222,949925294642210,949925294642210,949925311242210,949925311246303,0,0.004093
9423259,949925328075235,949925328075235,949925344675235,949925344666754,0,-0.008481
9423296,949925361512775,949925361512775,949925378112775,949925378120409,0,0.007634
9423333,949925394944168,949925394944168,949925411544168,949925411545375,0,0.001207
9423370,949925428379258,949925428379258,949925444979258,949925444994919,0,0.015661
9423407,949925461812102,949925461812102,949925478412102,949925478452155,0,0.040053
9423444,949925495247997,949925495247997,949925511847997,949925511861782,0,0.013785
9423481,949925528692943,949925528692943,949925545292943,949925545293423,0,0.000480
9423518,949925562129856,949925562129856,949925578729856,949925578738816,0,0.008960
9423555,949925595567222,949925595567222,949925612167222,949925612159512,0,-0.007710
9423592,949925629005946,949925629005946,949925645605946,949925645593146,0,-0.012800
9423629,949925662438842,949925662438842,949925679038842,949925679046962,0,0.008120
9423666,949925695873844,949925695873844,949925712473844,949925712480191,0,0.006347
9423704,949925729310994,949925729310994,949925745910994,949925745926601,0,0.015607
9423741,949925762750481,949925762750481,949925779350481,949925779359910,0,0.009429
9423778,949925796190653,949925796190653,949925812790653,949925812821378,0,0.030725
9423815,949925829628988,949925829628988,949925846228988,949925846266894,0,0.037906
9423853,949925863072630,949925863072630,949925879672630,949925879707974,0,0.035344
9423891,949925896517605,949925896517605,949925913117605,949925913141649,0,0.024044
9423910,949925913243256,949925913243256,949925929843256,949925929863288,0,0.020032
9423966,949925963405312,949925963405312,949925980005312,949925980020759,0,0.015447
9423985,949925980127415,949925980127415,949925996727415,949925996746996,0,0.019581
9424010,949926013570933,949926013570933,949926030170933,949926030188971,0,0.018038
9424023,949926047013386,949926047013386,949926063613386,949926063629644,0,0.016258
9424048,949926080458011,949926080458011,949926097058011,949926097104825,0,0.046814
9424085,949926113901259,949926113901259,949926130501259,949926130528978,0,0.027719
9424122,949926147353317,949926147353317,949926163953317,949926163961107,0,0.007790
9424159,949926180803809,949926180803809,949926197403809,949926197396734,0,-0.007075
9424196,949926214248686,949926214248686,949926230848686,949926230846402,0,-0.002284
9424233,949926247691292,949926247691292,949926264291292,949926264305426,0,0.014134
9424270,949926281136091,949926281136091,949926297736091,949926297743659,0,0.007568
9424283,949926314582033,949926314582033,949926331182033,949926331171230,0,-0.010803
9424308,949926348025399,949926348025399,949926364625399,949926364618903,0,-0.006496
9424333,949926381467016,949926381467016,949926398067016,949926398044197,0,-0.022819
9424346,949926414908137,949926414908137,949926431508137,949926431504646,0,-0.003491
9424359,949926448346265,949926448346265,949926464946265,949926464908331,0,-0.037934
9424384,949926481787060,949926481787060,949926498387060,949926498347907,0,-0.039153
9424421,949926515221486,949926515221486,949926531821486,949926531779060,0,-0.042426
9424458,949926548656849,949926548656849,949926565256849,949926565205410,0,-0.051439
9424495,949926582090266,949926582090266,949926598690266,949926598660366,0,-0.029900
9424532,949926615519959,949926615519959,949926632119959,949926632097256,0,-0.022703
9424569,949926648953834,949926648953834,949926665553834,949926665527310,0,-0.026524
9424606,949926682386744,949926682386744,949926698986744,949926698959358,0,-0.027386
9424643,949926715818224,949926715818224,949926732418224,949926732400927,0,-0.017297
9424680,949926749248560,949926749248560,949926765848560,949926765849657,0,0.001097
9424717,949926782679792,949926782679792,949926799279792,949926799303189,0,0.023397
9424754,949926816118128,949926816118128,949926832718128,949926832735318,0,0.017190
9424791,949926849558173,949926849558173,949926866158173,949926866177741,0,0.019568
9424828,949926882995881,949926882995881,949926899595881,949926899621996,0,0.026115
9424865,949926916434077,949926916434077,949926933034077,949926933070116,0,0.036039
9424902,949926949874582,949926949874582,949926966474582,949926966525194,0,0.050612
9424939,949926983320026,949926983320026,949926999920026,949926999943936,0,0.023910
9424977,949927016768755,949927016768755,949927033368755,949927033421394,0,0.052639
9425015,949927050212074,949927050212074,949927066812074,949927066844653,0,0.032579
9425053,949927083664778,949927083664778,949927100264778,949927100303108,0,0.038330
9425060,949927100391509,949927100391509,949927116991509,949927117003262,0,0.011753
9425097,949927133844620,949927133844620,949927150444620,949927150471972,0,0.027352
9425134,949927167289193,949927167289193,949927183889193,949927184000170,0,0.110977
9425171,949927200739352,949927200739352,949927217339352,949927217346199,0,0.006847
9425208,949927234206645,949927234206645,949927250806645,949927250817512,0,0.010867
9425245,949927267650098,949927267650098,949927284250098,949927284265104,0,0.015006
9425282,949927301101247,949927301101247,949927317701247,949927317713630,0,0.012383
9425319,949927334552300,949927334552300,949927351152300,949927351142301,0,-0.009999
9425356,949927368002264,949927368002264,949927384602264,949927384581143,0,-0.021121
9425393,949927401446915,949927401446915,949927418046915,949927418026049,0,-0.020866
9425430,949927434889532,949927434889532,949927451489532,949927451457649,0,-0.031883
9425467,949927468332610,949927468332610,949927484932610,949927484914639,0,-0.017971
9425504,949927501773911,949927501773911,949927518373911,949927518363940,0,-0.009971
9425541,949927535216525,949927535216525,949927551816525,949927551809699,0,-0.006826
9425578,949927568659558,949927568659558,949927585259558,949927585255907,0,-0.003651
9425615,949927602102613,949927602102613,949927618702613,949927618713549,0,0.010936
9425652,949927635546081,949927635546081,949927652146081,949927652158414,0,0.012333
9425689,949927668993619,949927668993619,949927685593619,949927685596444,0,0.002825
9425726,949927702437521,949927702437521,949927719037521,949927719034879,0,-0.002642
9425763,949927735883545,949927735883545,949927752483545,949927752476204,0,-0.007341
9425800,949927769325352,949927769325352,949927785925352,949927785922249,0,-0.003103
9425837,949927802767912,949927802767912,949927819367912,949927819364143,0,-0.003769
9425874,949927836207770,949927836207770,949927852807770,949927852828620,0,0.020850
9425911,949927869649840,949927869649840,949927886249840,949927886281014,0,0.031174
9425948,949927903106964,949927903106964,949927919706964,949927919728279,0,0.021315
9425985,949927936553988,949927936553988,949927953153988,949927953180021,0,0.026033
9426022,949927970004321,949927970004321,949927986604321,949927986635912,0,0.031591
9426059,949928003456338,949928003456338,949928020056338,949928020072761,0,0.016423
9426096,949928036910631,949928036910631,949928053510631,949928053522509,0,0.011878
9426121,949928070361103,949928070361103,949928086961103,949928086971280,0,0.010177
9426134,949928103811081,949928103811081,949928120411081,949928120939338,0,0.528257
9426147,949928137261059,949928137261059,949928153861059,949928153860033,0,-0.001026
9426160,949928170820588,949928170820588,949928187420588,949928187296475,0,-0.124113
9426197,949928204259282,949928204259282,949928220859282,949928220747648,0,-0.111634
9426222,949928237695928,949928237695928,949928254295928,949928254183886,0,-0.112042
9426235,949928271133424,949928271133424,949928287733424,949928287646492,0,-0.086932
9426272,949928304568288,949928304568288,949928321168288,949928321082853,0,-0.085435
9426310,949928338008645,949928338008645,949928354608645,949928354534553,0,-0.074092
9426348,949928371446430,949928371446430,949928388046430,949928387966154,0,-0.080276
9426367,949928388159354,949928388159354,949928404759354,949928404686857,0,-0.072497
9426404,949928421593199,949928421593199,949928438193199,949928438115201,0,-0.077998
9426441,949928455026294,949928455026294,949928471626294,949928471564583,0,-0.061711
9426478,949928488455271,949928488455271,949928505055271,949928504994881,0,-0.060390
9426515,949928521883952,949928521883952,949928538483952,949928538519416,0,0.035464
9426552,949928555311246,949928555311246,949928571911246,949928571875985,0,-0.035261
9426589,949928588756099,949928588756099,949928605356099,949928605311654,0,-0.044445
9426626,949928622181424,949928622181424,949928638781424,949928638753141,0,-0.028283
9426663,949928655605920,949928655605920,949928672205920,949928672193693,0,-0.012227
9426700,949928689031865,949928689031865,949928705631865,949928705625252,0,-0.006613
9426737,949928722456716,949928722456716,949928739056716,949928739064338,0,0.007622
9426774,949928755880303,949928755880303,949928772480303,949928772507780,0,0.027477
9426811,949928789304546,949928789304546,949928805904546,949928805937345,0,0.032799
9426848,949928822801149,949928822801149,949928839401149,949928839365691,0,-0.035458
9426885,949928856234109,949928856234109,949928872834109,949928872810718,0,-0.023391
9426922,949928889664010,949928889664010,949928906264010,949928906250700,0,-0.013310
9426959,949928923096699,949928923096699,949928939696699,949928939686329,0,-0.010370
9426996,949928956529292,949928956529292,949928973129292,949928973161954,0,0.032662
9427033,949928989964296,949928989964296,949929006564296,949929006582690,0,0.018394
9427070,949929023407399,949929023407399,949929040007399,949929039999886,0,-0.007513
9427107,949929056847659,949929056847659,949929073447659,949929073475024,0,0.027365
9427144,949929090282598,949929090282598,949929106882598,949929107012336,0,0.129738
9427181,949929123725717,949929123725717,949929140325717,949929140342781,0,0.017064
9427218,949929157188479,949929157188479,949929173788479,949929173769296,0,-0.019183
9427255,949929190627005,949929190627005,949929207227005,949929207218352,0,-0.008653
9427292,949929224062154,949929224062154,949929240662154,949929240649341,0,-0.012813
9427329,949929257510619,949929257510619,949929274110619,949929274093880,0,-0.016739
9427366,949929290947950,949929290947950,949929307547950,949929307525928,0,-0.022022
9427403,949929324385916,949929324385916,949929340985916,949929340966602,0,-0.019314
9427440,949929357823181,949929357823181,949929374423181,949929374412239,0,-0.010942
9427477,949929391260645,949929391260645,949929407860645,949929407850797,0,-0.009848
9427514,949929424699002,949929424699002,949929441299002,949929441286711,0,-0.012291
9427551,949929458137044,949929458137044,949929474737044,949929474726122,0,-0.010922
9427588,949929491574905,949929491574905,949929508174905,949929508168547,0,-0.006358
9427625,949929525011506,949929525011506,949929541611506,949929541600187,0,-0.011319
9427662,949929558447222,949929558447222,949929575047222,949929575039437,0,-0.007785
9427699,949929591882139,949929591882139,949929608482139,949929608473071,0,-0.009068
9427736,949929625316708,949929625316708,949929641916708,949929641919401,0,0.002693
9427749,949929658749835,949929658749835,949929675349835,949929675373137,0,0.023302
9427787,949929692188871,949929692188871,949929708788871,949929708815153,0,0.026282
9427825,949929725629509,949929725629509,949929742229509,949929742250741,0,0.021232
9427851,949929759067485,949929759067485,949929775667485,949929775719207,0,0.051722
9427877,949929792508890,949929792508890,949929809108890,949929809151294,0,0.042404
9427915,949929825969604,949929825969604,949929842569604,949929842594206,0,0.024602
9427934,949929842695554,949929842695554,949929859295554,949929859317473,0,0.021919
9427971,949929876140382,949929876140382,949929892740382,949929892762704,0,0.022322
9428008,949929909586537,949929909586537,949929926186537,949929926199959,0,0.013422
9428045,949929943032435,949929943032435,949929959632435,949929959703581,0,0.071146
9428082,949929976477922,949929976477922,949929993077922,949929993057666,0,-0.020256
9428119,949930009935312,949930009935312,949930026535312,949930026493823,0,-0.041489
9428156,949930043373244,949930043373244,949930059973244,949930059942595,0,-0.030649
9428181,949930076810791,949930076810791,949930093410791,949930093376799,0,-0.033992
9428218,949930110249921,949930110249921,949930126849921,949930126798633,0,-0.051288
9428255,949930143686953,949930143686953,949930160286953,949930160237884,0,-0.049069
9428292,949930177119738,949930177119738,949930193719738,949930193663176,0,-0.056562
9428329,949930210552782,949930210552782,949930227152782,949930227101896,0,-0.050886
9428384,949930260701472,949930260701472,949930277301472,949930277257089,0,-0.044383
9428403,949930277410139,949930277410139,949930294010139,949930293974212,0,-0.035927
9428446,949930327556137,949930327556137,949930344156137,949930344145150,0,-0.010987
9428453,949930344264862,949930344264862,949930360864862,949930360822396,0,-0.042466
9428466,949930377697651,949930377697651,949930394297651,949930394264209,0,-0.033442
9428479,949930411122012,949930411122012,949930427722012,949930427694996,0,-0.027016
9428492,949930444547454,949930444547454,949930461147454,949930461134530,0,-0.012924
9428505,949930477975831,949930477975831,949930494575831,949930494566619,0,-0.009212
9428518,949930511404927,949930511404927,949930528004927,949930528013232,0,0.008305
9428531,949930544834545,949930544834545,949930561434545,949930561473967,0,0.039422
9428544,949930578267181,949930578267181,949930594867181,949930594883432,0,0.016251
9428569,949930611706617,949930611706617,949930628306617,949930628314258,0,0.007641
9428606,949930645140875,949930645140875,949930661740875,949930661751635,0,0.010760
9428643,949930678583628,949930678583628,949930695183628,949930695199512,0,0.015884
9428680,949930712017601,949930712017601,949930728617601,949930728628712,0,0.011111
9428717,949930745454667,949930745454667,949930762054667,949930762062143,0,0.007476
9428754,949930778892348,949930778892348,949930795492348,949930795497608,0,0.005260
9428791,949930812329711,949930812329711,949930828929711,949930828961150,0,0.031439
9428828,949930845765643,949930845765643,949930862365643,949930862382699,0,0.017056
9428865,949930879208258,949930879208258,949930895808258,949930895845306,0,0.037048
9428902,949930912646595,949930912646595,949930929246595,949930929268889,0,0.022294
9428940,949930946090904,949930946090904,949930962690904,949930962719654,0,0.028750
9428978,949930979532191,949930979532191,949930996132191,949930996156706,0,0.024515
9429016,949931012976407,949931012976407,949931029576407,949931029597055,0,0.020648
9429054,949931046422187,949931046422187,949931063022187,949931063017424,0,-0.004763
9429073,949931063144535,949931063144535,949931079744535,949931079744068,0,-0.000467
9429129,949931113301866,949931113301866,949931129901866,949931129913909,0,0.012043
9429148,949931130021514,949931130021514,949931146621514,949931146632252,0,0.010738
9429185,949931163462902,949931163462902,949931180062902,949931180065317,0,0.002415
9429222,949931196903595,949931196903595,949931213503595,949931213502858,0,-0.000737
9429259,949931230343737,949931230343737,949931246943737,949931246938364,0,-0.005373
9429297,949931263786620,949931263786620,949931280386620,949931280366017,0,-0.020603
9429334,949931297225468,949931297225468,949931313825468,949931313830820,0,0.005352
9429371,949931330660899,949931330660899,949931347260899,949931347256520,0,-0.004379
9429408,949931364101735,949931364101735,949931380701735,949931380681243,0,-0.020492
9429445,949931397540574,949931397540574,949931414140574,949931414127858,0,-0.012716
9429482,949931430975032,949931430975032,949931447575032,949931447583587,0,0.008555
9429519,949931464410554,949931464410554,949931481010554,949931481011076,0,0.000522
9429556,949931497849088,949931497849088,949931514449088,949931514441618,0,-0.007470
9429593,949931531287959,949931531287959,949931547887959,949931547884083,0,-0.003876
9429630,949931564722818,949931564722818,949931581322818,949931581312022,0,-0.010796
9429667,949931598161766,949931598161766,949931614761766,949931614759897,0,-0.001869
9429704,949931631596560,949931631596560,949931648196560,949931648197723,0,0.001163
9429741,949931665035042,949931665035042,949931681635042,949931681633513,0,-0.001529
9429778,949931698473667,949931698473667,949931715073667,949931715058156,0,-0.015511
9429815,949931731911918,949931731911918,949931748511918,949931748506845,0,-0.005073
9429852,949931765345078,949931765345078,949931781945078,949931781931813,0,-0.013265
9429889,949931798781714,949931798781714,949931815381714,949931815375295,0,-0.006419
9429926,949931832217084,949931832217084,949931848817084,949931848791594,0,-0.025490
9429963,949931865653940,949931865653940,949931882253940,949931882253754,0,-0.000186
9430000,949931899085847,949931899085847,949931915685847,949931915664804,0,-0.021043
9430037,949931932523332,949931932523332,949931949123332,949931949105763,0,-0.017569
9430075,949931965954998,949931965954998,949931982554998,949931982550872,0,-0.004126
9430113,949931999386444,949931999386444,949932015986444,949932015975107,0,-0.011337
9430151,949932032823191,949932032823191,949932049423191,949932049411183,0,-0.012008
9430189,949932066255948,949932066255948,949932082855948,949932082854014,0,-0.001934
9430227,949932099687682,949932099687682,949932116287682,949932116292571,0,0.004889
9430265,949932133121914,949932133121914,949932149721914,949932149715748,0,-0.006166
9430303,949932166559200,949932166559200,949932183159200,949932183159026,0,-0.000174
9430322,949932183275109,949932183275109,949932199875109,949932199886118,0,0.011009
9430359,949932216709759,949932216709759,949932233309759,949932233287038,0,-0.022721
9430396,949932250147106,949932250147106,949932266747106,949932266718841,0,-0.028265
9430433,949932283576264,949932283576264,949932300176264,949932300162364,0,-0.013900
9430470,949932317006408,949932317006408,949932333606408,949932333631398,0,0.024990
9430507,949932350439078,949932350439078,949932367039078,949932367028615,0,-0.010463
9430544,949932383879318,949932383879318,949932400479318,949932400469492,0,-0.009826
9430581,949932417309811,949932417309811,949932433909811,949932433908823,0,-0.000988
9430618,949932450743416,949932450743416,949932467343416,949932467337208,0,-0.006208
9430655,949932484177276,949932484177276,949932500777276,949932500768808,0,-0.008468
9430692,949932517610920,949932517610920,949932534210920,949932534189463,0,-0.021457
9430729,949932551041503,949932551041503,949932567641503,949932567624887,0,-0.016616
9430766,949932584472802,949932584472802,949932601072802,949932601061574,0,-0.011228
9430803,949932617901711,949932617901711,949932634501711,949932634485199,0,-0.016512
9430840,949932651332313,949932651332313,949932667932313,949932667925139,0,-0.007174
9430877,949932684762085,949932684762085,949932701362085,949932701368378,0,0.006293
9430914,949932718192520,949932718192520,949932734792520,949932734789479,0,-0.003041
9430951,949932751625578,949932751625578,949932768225578,949932768226043,0,0.000465
9430988,949932785057108,949932785057108,949932801657108,949932801670176,0,0.013068
9431025,949932818490358,949932818490358,949932835090358,949932835094941,0,0.004583
9431062,949932851924647,949932851924647,949932868524647,949932868544402,0,0.019755
9431099,949932885358280,949932885358280,949932901958280,949932901971770,0,0.013490
9431136,949932918797272,949932918797272,949932935397272,949932935402394,0,0.005122
9431173,949932952230756,949932952230756,949932968830756,949932968849334,0,0.018578
9431210,949932985663094,949932985663094,949933002263094,949933002285776,0,0.022682
9431247,949933019099438,949933019099438,949933035699438,949933035722870,0,0.023432
9431284,949933052540759,949933052540759,949933069140759,949933069167613,0,0.026854
9431321,949933085978163,949933085978163,949933102578163,949933102617726,0,0.039563
9431358,949933119418784,949933119418784,949933136018784,949933136060394,0,0.041610
9431395,949933152863188,949933152863188,949933169463188,949933169484508,0,0.021320
9431433,949933186307991,949933186307991,949933202907991,949933202936777,0,0.028786
9431470,949933219750029,949933219750029,949933236350029,949933236387217,0,0.037188
9431508,949933253193434,949933253193434,949933269793434,949933269810517,0,0.017083
9431546,949933286639323,949933286639323,949933303239323,949933303231374,0,-0.007949
