frame_index,frame_token,deadline_missed,frame_time_ms,cluster,sampled_time_ns,avg_freq_khz,min_freq_khz,max_freq_khz,sample_count
0,9420410,0,16.149,big,41200000,2529472.423883,2401000.000000,2630000.000000,6
0,9420410,0,16.149,little,82400000,1577471.989515,1401000.000000,1803000.000000,12
0,9420410,0,16.149,middle,41200000,1877962.760971,1491000.000000,1999000.000000,6
1,9420447,0,16.301,big,41200000,2486524.466699,2252000.000000,2630000.000000,6
1,9420447,0,16.301,little,82400000,1541475.689709,1401000.000000,1803000.000000,12
1,9420447,0,16.301,middle,41200000,1871466.192621,1663000.000000,1999000.000000,6
2,9420484,0,16.112,big,41207146,2373852.874790,2188000.000000,2401000.000000,6
2,9420484,0,16.112,little,82414292,1311303.880740,1197000.000000,1328000.000000,12
2,9420484,0,16.112,middle,41207146,1568320.281584,1197000.000000,1999000.000000,6
3,9420521,0,16.217,big,41212252,2630000.000000,2630000.000000,2630000.000000,6
3,9420521,0,16.217,little,82424504,1401000.000000,1401000.000000,1401000.000000,12
3,9420521,0,16.217,middle,41212252,1901064.156649,1197000.000000,2253000.000000,6
4,9420558,0,16.184,big,41209456,2439155.437820,2188000.000000,2630000.000000,6
4,9420558,0,16.184,little,82418912,1312917.894378,1197000.000000,1401000.000000,12
4,9420558,0,16.184,middle,41209456,1197000.000000,1197000.000000,1197000.000000,6
5,9420595,0,16.222,big,41200000,2244132.604272,2188000.000000,2252000.000000,6
5,9420595,0,16.222,little,82400000,1311896.424369,1197000.000000,1328000.000000,12
5,9420595,0,16.222,middle,41200000,2131239.758301,1197000.000000,2253000.000000,6
6,9420632,0,16.23,big,41200000,2462082.855049,2401000.000000,2507000.000000,6
6,9420632,0,16.23,little,82400000,1328000.000000,1328000.000000,1328000.000000,12
6,9420632,0,16.23,middle,41200000,2002989.476214,1663000.000000,2253000.000000,6
7,9420669,0,16.151,big,41200000,2453304.022524,2401000.000000,2507000.000000,6
7,9420669,0,16.151,little,82400000,1345760.407427,1328000.000000,1401000.000000,12
7,9420669,0,16.151,middle,41200000,1954126.163107,1663000.000000,2253000.000000,6
