frame_index,frame_token,deadline_missed,frame_time_ms,thread_count,on_cpu_ms,runnable_wait_ms,top_thread,top_thread_score_ns
,,0,80648,1,0.0,0.0,,0
16,9421003,0,16.14,92,73.302,29.345,kworker/u16:18:7521,20480005
17,9421040,0,16.198,98,61.905,18.139,kworker/u16:18:7521,20600000
18,9421077,0,16.173,92,66.647,16.69,tracepilot:18002,18513866
19,9421114,0,16.157,94,54.172,22.61,tracepilot:18002,18047733
20,9421151,0,16.466,74,47.433,13.218,tracepilot:18002,18346668
21,9421176,0,16.294,74,48.276,13.151,tracepilot:18002,18300420
22,9421189,0,16.178,77,56.59,13.254,tracepilot:18002,18300928
23,9421202,0,16.355,85,60.116,27.196,tracepilot:18002,17955290
24,9421240,0,16.117,98,66.898,30.996,tracepilot:18002,18442753
25,9421278,0,16.22,95,71.969,25.877,tracepilot:18002,17853123
26,9421297,0,16.348,99,72.025,24.849,tracepilot:18002,18036354
27,9421353,0,16.311,89,61.879,22.447,tracepilot:18002,18410343
28,9421372,0,16.222,88,74.523,25.621,tracepilot:18002,18115630
29,9421409,0,16.127,92,75.682,33.513,tracepilot:18002,18385574
30,9421446,0,16.174,91,61.719,23.668,tracepilot:18002,18329606
31,9421483,0,16.092,85,74.838,18.411,tracepilot:18002,18189195
32,9421520,0,16.14,73,53.124,13.461,tracepilot:18002,18471588
33,9421545,0,16.148,84,75.594,32.321,tracepilot:18002,18119078
34,9421582,0,16.168,89,75.507,29.694,tracepilot:18002,18771012
35,9421619,0,16.144,94,73.093,32.756,tracepilot:18002,18299593
36,9421656,0,16.19,91,73.372,27.025,tracepilot:18002,18487858
37,9421693,0,16.139,85,82.298,32.817,tracepilot:18002,18279495
38,9421730,0,16.295,85,67.652,32.084,tracepilot:18002,18227061
39,9421767,0,16.167,85,48.72,21.271,tracepilot:18002,18318629
40,9421804,0,16.052,76,64.043,11.125,tracepilot:18002,18327220
41,9421841,0,16.207,71,65.526,15.377,tracepilot:18002,18464992
42,9421854,0,16.288,71,50.129,14.4,tracepilot:18002,18293227
43,9421867,0,16.243,81,59.92,21.46,tracepilot:18002,18145966
44,9421904,0,16.085,83,57.432,21.038,tracepilot:18002,18199298
45,9421941,0,16.193,79,54.724,19.331,tracepilot:18002,18231424
46,9421978,0,16.143,85,92.975,24.799,ActivityManager:1488,20608651
47,9422015,0,16.244,90,63.822,25.21,tracepilot:18002,18014152
48,9422052,0,16.244,82,52.782,19.692,tracepilot:18002,18244766
49,9422089,0,16.246,87,60.992,25.48,tracepilot:18002,18269503
50,9422126,0,16.22,84,51.039,24.158,tracepilot:18002,18244198
51,9422163,0,16.163,85,58.881,22.601,tracepilot:18002,18272175
52,9422200,0,16.11,97,75.663,26.983,tracepilot:18002,18207486
53,9422237,0,16.229,90,57.568,26.544,tracepilot:18002,18267333
54,9422274,0,16.241,87,58.969,24.141,tracepilot:18002,18409962
