frame_token,pid,uid,process_name,expected_start_ns,expected_end_ns,actual_start_ns,actual_end_ns,frame_time_ms,jank_type,deadline_missed,window_start_ns,window_end_ns
9420410,600,[NULL],[NULL],949922553326908,949922569926908,949922553773646,949922569922857,16.149,None,False,949922551326908,949922571926908
9420447,600,[NULL],[NULL],949922586752408,949922603352408,949922587045659,949922603346318,16.301,None,False,949922584752408,949922605352408
9420484,600,[NULL],[NULL],949922620180042,949922636780042,949922620671513,949922636783615,16.112,None,False,949922618180042,949922638783615
9420521,600,[NULL],[NULL],949922653607217,949922670207217,949922653996668,949922670213343,16.217,None,False,949922651607217,949922672213343
9420558,600,[NULL],[NULL],949922687035780,949922703635780,949922687456995,949922703640508,16.184,None,False,949922685035780,949922705640508
9420595,600,[NULL],[NULL],949922720464676,949922737064676,949922720841964,949922737063684,16.222,None,False,949922718464676,949922739064676
9420632,600,[NULL],[NULL],949922753893098,949922770493098,949922754262334,949922770491867,16.23,None,False,949922751893098,949922772493098
9420669,600,[NULL],[NULL],949922787319839,949922803919839,949922787768560,949922803919235,16.151,None,False,949922785319839,949922805919839
9420706,600,[NULL],[NULL],949922820748486,949922837348486,949922821116298,949922837341721,16.225,None,False,949922818748486,949922839348486
9420743,600,[NULL],[NULL],949922854177677,949922870777677,949922854514857,949922870766932,16.252,None,False,949922852177677,949922872777677
9420780,600,[NULL],[NULL],949922887604240,949922904204240,949922888063522,949922904200241,16.137,None,False,949922885604240,949922906204240
9420817,600,[NULL],[NULL],949922921031784,949922937631784,949922921432541,949922937618128,16.186,None,False,949922919031784,949922939631784
9420854,600,[NULL],[NULL],949922954459143,949922971059143,949922954819585,949922971044276,16.225,None,False,949922952459143,949922973059143
9420892,600,[NULL],[NULL],949922987884263,949923004484263,949922988365605,949923004474777,16.109,None,False,949922985884263,949923006484263
9420929,600,[NULL],[NULL],949923021308449,949923037908449,949923021695033,949923037916875,16.222,None,False,949923019308449,949923039916875
9420966,600,[NULL],[NULL],949923054736422,949923071336422,949923055152267,949923071333826,16.182,None,False,949923052736422,949923073336422
9421003,600,[NULL],[NULL],949923088164764,949923104764764,949923088616582,949923104756841,16.14,None,False,949923086164764,949923106764764
9421040,600,[NULL],[NULL],949923121590307,949923138190307,949923121984502,949923138182215,16.198,None,False,949923119590307,949923140190307
9421077,600,[NULL],[NULL],949923155015513,949923171615513,949923155455734,949923171628993,16.173,None,False,949923153015513,949923173628993
9421114,600,[NULL],[NULL],949923188440986,949923205040986,949923188921066,949923205078049,16.157,None,False,949923186440986,949923207078049
9421151,600,[NULL],[NULL],949923221870947,949923238470947,949923222091395,949923238557500,16.466,None,False,949923219870947,949923240557500
9421176,600,[NULL],[NULL],949923255305100,949923271905100,949923255699672,949923271993373,16.294,None,False,949923253305100,949923273993373
9421189,600,[NULL],[NULL],949923288750026,949923305350026,949923289178269,949923305356125,16.178,None,False,949923286750026,949923307356125
9421202,600,[NULL],[NULL],949923322194746,949923338794746,949923322441778,949923338796677,16.355,None,False,949923320194746,949923340796677
9421240,600,[NULL],[NULL],949923355625145,949923372225145,949923356133957,949923372250656,16.117,None,False,949923353625145,949923374250656
9421278,600,[NULL],[NULL],949923389058223,949923405658223,949923389454595,949923405674647,16.22,None,False,949923387058223,949923407674647
9421297,600,[NULL],[NULL],949923405780837,949923422380837,949923406014491,949923422362879,16.348,None,False,949923403780837,949923424380837
9421353,600,[NULL],[NULL],949923455932233,949923472532233,949923456205327,949923472515956,16.311,None,False,949923453932233,949923474532233
9421372,600,[NULL],[NULL],949923472646430,949923489246430,949923472998500,949923489220791,16.222,None,False,949923470646430,949923491246430
9421409,600,[NULL],[NULL],949923506077494,949923522677494,949923506530605,949923522657843,16.127,None,False,949923504077494,949923524677494
9421446,600,[NULL],[NULL],949923539506210,949923556106210,949923539894211,949923556068202,16.174,None,False,949923537506210,949923558106210
9421483,600,[NULL],[NULL],949923572935767,949923589535767,949923573396978,949923589489426,16.092,None,False,949923570935767,949923591535767
9421520,600,[NULL],[NULL],949923606361355,949923622961355,949923606769089,949923622909511,16.14,None,False,949923604361355,949923624961355
9421545,600,[NULL],[NULL],949923639783605,949923656383605,949923640185674,949923656333623,16.148,None,False,949923637783605,949923658383605
9421582,600,[NULL],[NULL],949923673203416,949923689803416,949923673586350,949923689753912,16.168,None,False,949923671203416,949923691803416
9421619,600,[NULL],[NULL],949923706622135,949923723222135,949923707044847,949923723188605,16.144,None,False,949923704622135,949923725222135
9421656,600,[NULL],[NULL],949923740040770,949923756640770,949923740419683,949923756609909,16.19,None,False,949923738040770,949923758640770
9421693,600,[NULL],[NULL],949923773459278,949923790059278,949923773892624,949923790031947,16.139,None,False,949923771459278,949923792059278
9421730,600,[NULL],[NULL],949923806875712,949923823475712,949923807154546,949923823449549,16.295,None,False,949923804875712,949923825475712
9421767,600,[NULL],[NULL],949923840290216,949923856890216,949923840705980,949923856873216,16.167,None,False,949923838290216,949923858890216
9421804,600,[NULL],[NULL],949923873704935,949923890304935,949923874244147,949923890296149,16.052,None,False,949923871704935,949923892304935
9421841,600,[NULL],[NULL],949923907122108,949923923722108,949923907534551,949923923741298,16.207,None,False,949923905122108,949923925741298
9421854,600,[NULL],[NULL],949923940546010,949923957146010,949923940973190,949923957261195,16.288,None,False,949923938546010,949923959261195
9421867,600,[NULL],[NULL],949923973976678,949923990576678,949923974338426,949923990581102,16.243,None,False,949923971976678,949923992581102
9421904,600,[NULL],[NULL],949924007420633,949924024020633,949924007916917,949924024001471,16.085,None,False,949924005420633,949924026020633
9421941,600,[NULL],[NULL],949924040841459,949924057441459,949924041255580,949924057448695,16.193,None,False,949924038841459,949924059448695
9421978,600,[NULL],[NULL],949924074265052,949924090865052,949924074730800,949924090873703,16.143,None,False,949924072265052,949924092873703
9422015,600,[NULL],[NULL],949924107693831,949924124293831,949924108063238,949924124307175,16.244,None,False,949924105693831,949924126307175
9422052,600,[NULL],[NULL],949924141119825,949924157719825,949924141497930,949924157742112,16.244,None,False,949924139119825,949924159742112
9422089,600,[NULL],[NULL],949924174549425,949924191149425,949924174933559,949924191179571,16.246,None,False,949924172549425,949924193179571
9422126,600,[NULL],[NULL],949924207980140,949924224580140,949924208389247,949924224609462,16.22,None,False,949924205980140,949924226609462
9422163,600,[NULL],[NULL],949924241414753,949924258014753,949924241894131,949924258056850,16.163,None,False,949924239414753,949924260056850
9422200,600,[NULL],[NULL],949924274847976,949924291447976,949924275383063,949924291493455,16.11,None,False,949924272847976,949924293493455
9422237,600,[NULL],[NULL],949924308285115,949924324885115,949924308704229,949924324933070,16.229,None,False,949924306285115,949924326933070
9422274,600,[NULL],[NULL],949924341722828,949924358322828,949924342126104,949924358367234,16.241,None,False,949924339722828,949924360367234
9422311,600,[NULL],[NULL],949924375162046,949924391762046,949924375574021,949924391818162,16.244,None,False,949924373162046,949924393818162
9422348,600,[NULL],[NULL],949924408600837,949924425200837,949924409061286,949924425237759,16.176,None,False,949924406600837,949924427237759
9422385,600,[NULL],[NULL],949924442044589,949924458644589,949924442503383,949924458664475,16.161,None,False,949924440044589,949924460664475
9422422,600,[NULL],[NULL],949924475484359,949924492084359,949924475924281,949924492094529,16.17,None,False,949924473484359,949924494094529
9422459,600,[NULL],[NULL],949924508921957,949924525521957,949924509249599,949924525517991,16.268,None,False,949924506921957,949924527521957
9422496,600,[NULL],[NULL],949924542357421,949924558957421,949924542669439,949924559004360,16.335,None,False,949924540357421,949924561004360
9422534,600,[NULL],[NULL],949924575789862,949924592389862,949924576175706,949924592386969,16.211,None,False,949924573789862,949924594389862
9422553,600,[NULL],[NULL],949924592515893,949924609115893,949924592849616,949924609111213,16.262,None,False,949924590515893,949924611115893
9422590,600,[NULL],[NULL],949924625948533,949924642548533,949924626224330,949924642543870,16.32,None,False,949924623948533,949924644548533
9422627,600,[NULL],[NULL],949924659394133,949924675994133,949924659763149,949924675956834,16.194,None,False,949924657394133,949924677994133
9422664,600,[NULL],[NULL],949924692827179,949924709427179,949924693255499,949924709391322,16.136,None,False,949924690827179,949924711427179
9422701,600,[NULL],[NULL],949924726254071,949924742854071,949924726681646,949924742828497,16.147,None,False,949924724254071,949924744854071
9422738,600,[NULL],[NULL],949924759682721,949924776282721,949924760117518,949924776267583,16.15,None,False,949924757682721,949924778282721
9422793,600,[NULL],[NULL],949924809827984,949924826427984,949924810242520,949924826451830,16.209,None,False,949924807827984,949924828451830
9422830,600,[NULL],[NULL],949924843257259,949924859857259,949924843689948,949924859871711,16.182,None,False,949924841257259,949924861871711
9422849,600,[NULL],[NULL],949924859977653,949924876577653,949924860399827,949924876599615,16.2,None,False,949924857977653,949924878599615
9422886,600,[NULL],[NULL],949924893411524,949924910011524,949924893787360,949924910025641,16.238,None,False,949924891411524,949924912025641
9422941,600,[NULL],[NULL],949924943563392,949924960163392,949924943974493,949924960157680,16.183,None,False,949924941563392,949924962163392
9422978,600,[NULL],[NULL],949924976998287,949924993598287,949924977372157,949924993617518,16.245,None,False,949924974998287,949924995617518
9422997,600,[NULL],[NULL],949924993712701,949925010312701,949924994173590,949925010318121,16.145,None,False,949924991712701,949925012318121
9423034,600,[NULL],[NULL],949925027150440,949925043750440,949925027615525,949925043776821,16.161,None,False,949925025150440,949925045776821
9423071,600,[NULL],[NULL],949925060584531,949925077184531,949925060862473,949925077199712,16.337,None,False,949925058584531,949925079199712
9423108,600,[NULL],[NULL],949925094026161,949925110626161,949925094364386,949925110626796,16.262,None,False,949925092026161,949925112626796
9423121,600,[NULL],[NULL],949925127463573,949925144063573,949925127927781,949925144063564,16.136,None,False,949925125463573,949925146063573
9423134,600,[NULL],[NULL],949925160898809,949925177498809,949925161350999,949925177497605,16.147,None,False,949925158898809,949925179498809
9423147,600,[NULL],[NULL],949925194334204,949925210934204,949925194799282,949925210932379,16.133,None,False,949925192334204,949925212934204
9423160,600,[NULL],[NULL],949925227767928,949925244367928,949925228300258,949925244364996,16.065,None,False,949925225767928,949925246367928
9423185,600,[NULL],[NULL],949925261208153,949925277808153,949925261631924,949925277790696,16.159,None,False,949925259208153,949925279808153
9423222,600,[NULL],[NULL],949925294642210,949925311242210,949925294935919,949925311246303,16.31,None,False,949925292642210,949925313246303
9423259,600,[NULL],[NULL],949925328075235,949925344675235,949925328500047,949925344666754,16.167,None,False,949925326075235,949925346675235
9423296,600,[NULL],[NULL],949925361512775,949925378112775,949925361947720,949925378120409,16.173,None,False,949925359512775,949925380120409
9423333,600,[NULL],[NULL],949925394944168,949925411544168,949925395363409,949925411545375,16.182,None,False,949925392944168,949925413545375
9423370,600,[NULL],[NULL],949925428379258,949925444979258,949925428857834,949925444994919,16.137,None,False,949925426379258,949925446994919
9423407,600,[NULL],[NULL],949925461812102,949925478412102,949925462066535,949925478452155,16.386,None,False,949925459812102,949925480452155
9423444,600,[NULL],[NULL],949925495247997,949925511847997,949925495673428,949925511861782,16.188,None,False,949925493247997,949925513861782
9423481,600,[NULL],[NULL],949925528692943,949925545292943,949925529123257,949925545293423,16.17,None,False,949925526692943,949925547293423
9423518,600,[NULL],[NULL],949925562129856,949925578729856,949925562545050,949925578738816,16.194,None,False,949925560129856,949925580738816
9423555,600,[NULL],[NULL],949925595567222,949925612167222,949925595993130,949925612159512,16.166,None,False,949925593567222,949925614167222
9423592,600,[NULL],[NULL],949925629005946,949925645605946,949925629440843,949925645593146,16.152,None,False,949925627005946,949925647605946
9423629,600,[NULL],[NULL],949925662438842,949925679038842,949925662837571,949925679046962,16.209,None,False,949925660438842,949925681046962
9423666,600,[NULL],[NULL],949925695873844,949925712473844,949925696121793,949925712480191,16.358,None,False,949925693873844,949925714480191
9423704,600,[NULL],[NULL],949925729310994,949925745910994,949925729721645,949925745926601,16.205,None,False,949925727310994,949925747926601
9423741,600,[NULL],[NULL],949925762750481,949925779350481,949925763124030,949925779359910,16.236,None,False,949925760750481,949925781359910
9423778,600,[NULL],[NULL],949925796190653,949925812790653,949925796563931,949925812821378,16.257,None,False,949925794190653,949925814821378
9423815,600,[NULL],[NULL],949925829628988,949925846228988,949925830114184,949925846266894,16.153,None,False,949925827628988,949925848266894
9423853,600,[NULL],[NULL],949925863072630,949925879672630,949925863522671,949925879707974,16.185,None,False,949925861072630,949925881707974
9423891,600,[NULL],[NULL],949925896517605,949925913117605,949925896976936,949925913141649,16.165,None,False,949925894517605,949925915141649
9423910,600,[NULL],[NULL],949925913243256,949925929843256,949925913585822,949925929863288,16.277,None,False,949925911243256,949925931863288
9423966,600,[NULL],[NULL],949925963405312,949925980005312,949925963827847,949925980020759,16.193,None,False,949925961405312,949925982020759
9423985,600,[NULL],[NULL],949925980127415,949925996727415,949925980499071,949925996746996,16.248,None,False,949925978127415,949925998746996
9424010,600,[NULL],[NULL],949926013570933,949926030170933,949926014020921,949926030188971,16.168,None,False,949926011570933,949926032188971
9424023,600,[NULL],[NULL],949926047013386,949926063613386,949926047399989,949926063629644,16.23,None,False,949926045013386,949926065629644
9424048,600,[NULL],[NULL],949926080458011,949926097058011,949926080727627,949926097104825,16.377,None,False,949926078458011,949926099104825
9424085,600,[NULL],[NULL],949926113901259,949926130501259,949926114335008,949926130528978,16.194,None,False,949926111901259,949926132528978
9424122,600,[NULL],[NULL],949926147353317,949926163953317,949926147690273,949926163961107,16.271,None,False,949926145353317,949926165961107
9424159,600,[NULL],[NULL],949926180803809,949926197403809,949926181169765,949926197396734,16.227,None,False,949926178803809,949926199403809
9424196,600,[NULL],[NULL],949926214248686,949926230848686,949926214542813,949926230846402,16.304,None,False,949926212248686,949926232848686
