tid,comm,pid,process_name,uid,cluster,on_cpu_ns,frame_count,running_slices
18002,tracepilot,18002,/data/local/tmp/tracepilot,0,big,11553845058,905,583043
1731,irq/438-fts,,,,big,2956029551,569,1705
1222,traced_probes,,,,little,2727587800,863,2928
15577,CoreThread,,,,little,2522332531,530,1056
15498,UnityMain,,,,middle,2477023929,524,1346
600,surfaceflinger,600,,,little,2472641924,800,1838
15551,UnityGfxDeviceW,15364,,,middle,2036023288,736,3306
15800,NativeThread,15364,,,little,1586183858,497,931
92,kswapd0,,,,big,1506227930,92,328
15498,UnityMain,,,,big,1232011259,362,974
1731,irq/438-fts,,,,middle,1210290417,358,683
1742,binder:1385_2,,,,little,1110407323,719,2278
1806,InputDispatcher,,,,little,1054476469,749,5214
15534,Job.worker 1,,,,little,999000193,662,4210
15533,Job.worker 0,,,,little,997893647,698,5534
653,HwBinder:602_1,602,,,little,997212493,750,759
15577,CoreThread,,,,middle,928275357,355,715
16801,AAudio_2,,,,little,896859705,907,8649
678,app,600,,,little,785310762,876,1534
2224,s.nexuslauncher,2224,,,little,776218823,776,2897
15551,UnityGfxDeviceW,15364,,,big,721539952,462,1698
15364,cent.tmgp.sgame,15364,,,little,677493300,647,1353
6879,kworker/u16:11,6879,kworker/u16:11,0,little,557039037,538,1343
1807,InputReader,,,,little,503786180,530,1409
15800,NativeThread,15364,,,middle,494190831,379,520
677,TimerDispatch,600,,,little,478345006,904,1709
1731,irq/438-fts,,,,little,455261031,93,238
1222,traced_probes,,,,middle,453332983,358,774
18002,tracepilot,18002,/data/local/tmp/tracepilot,0,middle,374847454,263,8636
1402,android.ui,,,,little,345825167,656,2457
16798,binder:981_5,,,,little,343913289,828,3453
1806,InputDispatcher,,,,middle,320709095,712,3283
548,sugov:0,,,,little,307726978,898,5055
15904,Thread-5268,,,,little,302591635,877,2659
16743,Thread-57623,,,,little,295746062,854,2743
2285,InputProcessor,,,,little,293493888,473,2063
707,BckgrndExec HP,600,,,little,278765219,876,1560
294,decon0_kthread,,,,little,264478920,903,1714
15573,Thread-72,15364,,,little,252224920,605,1100
16757,1,,,,little,246530736,261,350
1988,ndroid.systemui,1988,,,little,243355491,568,1209
15364,cent.tmgp.sgame,15364,,,big,242521608,706,1813
1982,android.hardwar,,,,little,238340788,453,1559
2224,s.nexuslauncher,2224,,,middle,236880807,653,1516
1807,InputReader,,,,middle,229581540,487,1190
15364,cent.tmgp.sgame,15364,,,middle,228987178,474,780
15577,CoreThread,,,,big,212800170,134,254
1988,ndroid.systemui,1988,,,middle,208590371,615,1537
1522,UsfTransport,,,,little,205460727,907,1095
18002,tracepilot,18002,/data/local/tmp/tracepilot,0,little,201753060,266,1089
1021,android.hardwar,,,,little,197157619,907,1097
15871,Thread-57906,,,,little,193613842,855,3905
15534,Job.worker 1,,,,middle,179578480,384,1638
7521,kworker/u16:18,,,,little,174965253,88,360
600,surfaceflinger,600,,,middle,169854159,149,274
15533,Job.worker 0,,,,middle,167770956,450,2159
1965,binder:600_3,600,,,little,160545172,497,1387
1799,SensorService,,,,little,160256460,700,795
649,binder:600_1,600,,,little,156354178,444,1320
549,sugov:4,,,,little,153999609,834,1608
2576,binder:600_5,600,,,little,143684623,436,1207
1209,system_server,1209,,,little,138844483,664,861
539,lmkd,539,,,little,132281873,168,930
29269,Reade2-V2,,,,little,130259625,678,1276
1402,android.ui,,,,middle,129545083,531,1484
15550,mali-cmar-backe,,,,little,123576140,630,1279
15867,cableThread,,,,little,123503317,783,2450
6873,kworker/u16:5,,,,little,119192685,99,385
15800,NativeThread,15364,,,big,111257515,171,217
1225,traced,,,,little,108722333,136,157
15391,binder:15364_3,15364,,,little,106252190,275,393
15996,MethodHandler,,,,little,101014979,704,1246
2285,InputProcessor,,,,middle,100787130,377,1490
15864,pcdn_main,,,,little,99297490,706,1245
15951,Thread-57908,,,,little,90414789,606,648
1982,android.hardwar,,,,middle,89831293,363,1076
638,DisplayHints,,,,little,89571674,907,951
16798,binder:981_5,,,,middle,88874673,497,1446
2041,android.hardwar,,,,little,87915962,454,488
18024,tracepilot,18002,/data/local/tmp/tracepilot,0,little,86715514,86,139
653,HwBinder:602_1,602,,,middle,84962367,127,155
1516,com.google.usf.,,,,little,84594703,838,995
16749,Apollo-Lwip,,,,little,82885301,622,983
2006,classifier_pool,,,,little,79506354,69,224
15573,Thread-72,15364,,,middle,75728755,365,537
150,sched_pmu_wq,,,,little,75591020,899,1566
1020,UsfHalWorker,,,,little,75332603,907,1103
678,app,600,,,middle,73950031,268,318
650,binder:600_2,600,,,little,70426624,211,593
15950,Thread-5285,,,,little,70131450,618,650
15558,GThreadManager,,,,little,70016649,627,653
3879,HwBinder:910_5,,,,little,69765566,194,404
15866,pcdn_udp,,,,little,67798280,712,1258
