rank,tid,comm,pid,process_name,uid,frame_count,jank_frame_count,on_cpu_ms,runnable_wait_ms,runnable_wait_p95_ms,running_slices,runnable_slices,critical_score_ns
1,15498,UnityMain,,,,809,2,3709.035,244.652,1.954,2320,1857,3953686969
2,15577,CoreThread,,,,907,2,3663.408,191.062,0.97,2025,1782,3854469900
3,600,surfaceflinger,600,,,907,2,2697.533,133.722,0.233,2249,2218,2831254806
4,15800,NativeThread,15364,,,903,2,2191.632,141.387,0.656,1668,1538,2333018807
5,92,kswapd0,,,,95,2,1575.398,26.847,1.239,391,323,1602244724
6,16801,AAudio_2,,,,907,2,945.151,372.884,0.527,9476,9443,1318034762
7,653,HwBinder:602_1,602,,,907,2,1108.638,52.405,0.103,975,975,1161042517
8,678,app,600,,,907,2,883.872,74.608,0.149,2031,1988,958479622
9,16798,binder:981_5,,,,907,2,432.788,436.301,1.131,4899,4898,869088691
10,16632,kworker/5:1,,,,551,2,34.441,679.225,4.723,895,920,713666087
11,15871,Thread-57906,,,,907,2,242.116,341.167,0.734,6048,6062,583282993
12,15904,Thread-5268,,,,907,2,353.242,218.881,0.509,3700,3693,572122269
13,15573,Thread-72,15364,,,907,2,371.547,198.1,0.719,2066,2073,569646969
14,677,TimerDispatch,600,,,907,2,496.025,72.601,0.123,1845,1843,568626164
15,16743,Thread-57623,,,,907,2,344.973,221.614,0.541,3848,3823,566587753
16,548,sugov:0,,,,898,2,307.727,159.829,0.298,5055,5044,467555540
17,707,BckgrndExec HP,600,,,907,2,304.658,73.076,0.134,1953,1953,377733501
18,15867,cableThread,,,,907,2,150.943,213.052,0.433,3693,3697,363995078
19,294,decon0_kthread,,,,907,2,280.516,78.515,0.137,1862,1862,359031595
20,1209,system_server,1209,,,907,2,188.408,110.063,0.296,1318,1307,298470794
