rank,event,tid,comm,count,relevant_to_game_pipeline,first_ts_ns,last_ts_ns,duration_ms
1,FUTEX_WAIT,15498,UnityMain,221670,True,273100351780484,273159845749548,59493.969
2,FUTEX_WAIT,15551,UnityGfxDeviceW,61861,True,273100354568245,273159845490841,59490.923
3,FUTEX_WAIT,600,surfaceflinger,7716,True,273100352673917,273159834544836,59481.871
4,FUTEX_WAIT,1807,InputReader,7503,True,273100361616707,273159839316280,59477.7
5,BINDER_CALL,2285,InputProcessor,7312,True,273100350969531,273159839577185,59488.608
6,FUTEX_WAIT,2285,InputProcessor,7147,True,273100361933398,273159840132198,59478.199
7,BINDER_CALL,15364,cent.tmgp.sgame,2948,True,273100350505094,273159840193477,59489.688
8,FUTEX_WAIT,15521,binder:15364_2,2073,True,273100371221158,273159819494625,59448.273
9,BINDER_CALL,600,surfaceflinger,1878,True,273100351111173,273159818108028,59466.997
10,BINDER_CALL,653,HwBinder:602_1,1872,True,273100352224169,273159818595048,59466.371
11,FUTEX_WAIT,653,HwBinder:602_1,1847,True,273100369477628,273159818321936,59448.844
12,FUTEX_WAIT,15531,UnityMain,1802,True,273100351895556,273159830912512,59479.017
13,BINDER_CALL,15551,UnityGfxDeviceW,1802,True,273100355250292,273159832379228,59477.129
14,BINDER_CALL,3879,HwBinder:910_5,1589,True,273100384944873,273159809747270,59424.802
15,FUTEX_WAIT,15571,UnityMain,927,True,273100380734220,273159803964311,59423.23
16,BINDER_CALL,3898,HwBinder:910_6,767,True,273108718271333,273150272880444,41554.609
17,BINDER_CALL,1806,InputDispatcher,513,True,273100426479093,273159791763953,59365.285
18,FUTEX_WAIT,15378,binder:15364_2,513,True,273101843417041,273133005464501,31162.047
19,FUTEX_WAIT,15391,binder:15364_3,501,True,273114697954198,273159819436845,45121.483
20,FUTEX_WAIT,16304,binder:15364_7,449,True,273100371176847,273140244891181,39873.714
21,FUTEX_WAIT,2044,RenderThread,370,True,273101973020435,273157932889440,55959.869
22,FUTEX_WAIT,1806,InputDispatcher,349,True,273101521323047,273159792280473,58270.957
23,FUTEX_WAIT,1965,binder:600_3,314,True,273100534486743,273159840314653,59305.828
24,FUTEX_WAIT,649,binder:600_1,292,True,273100371833056,273159840581498,59468.748
25,FUTEX_WAIT,15377,binder:15364_1,258,True,273147314396474,273159755193437,12440.797
26,FUTEX_WAIT,15529,binder:15364_4,207,True,273100856121386,273157616838252,56760.717
27,FUTEX_WAIT,650,binder:600_2,189,True,273104836253387,273145491069203,40654.816
28,FUTEX_WAIT,2576,binder:600_5,177,True,273100517183357,273159734354325,59217.171
29,BINDER_CALL,2044,RenderThread,94,True,273101976730518,273157932415400,55955.685
30,BINDER_CALL,2576,binder:600_5,9,True,273102227859384,273153619495924,51391.637
31,FUTEX_WAIT,686,surfaceflinger,9,True,273113994204441,273153620630364,39626.426
32,BINDER_CALL,649,binder:600_1,8,True,273100351089811,273137176570053,36825.48
33,FUTEX_WAIT,15902,UnityMain,8,True,273111131674695,273149929215486,38797.541
34,BINDER_CALL,650,binder:600_2,5,True,273104816811859,273112958299127,8141.487
35,BINDER_CALL,1965,binder:600_3,4,True,273104818443166,273118125157772,13306.715
36,BINDER_CALL,16304,binder:15364_7,3,True,273100776279467,273100776782601,0.503
37,BINDER_CALL,2479,HwBinder:2214_1,2,True,273119603972714,273119604911801,0.939
38,FUTEX_WAIT,16061,sgame:estPlugin,2,True,273140999491360,273141000224840,0.733
39,FUTEX_WAIT,15364,cent.tmgp.sgame,1,True,273108961285168,273108961285168,0.0
40,FUTEX_WAIT,2479,HwBinder:2214_1,1,True,273119601706438,273119601706438,0.0
41,FUTEX_WAIT,15533,Job.worker 0,42631,False,273100353813077,273159845559770,59491.747
42,FUTEX_WAIT,15534,Job.worker 1,39799,False,273100353835498,273159845567826,59491.732
43,FUTEX_WAIT,16798,binder:981_5,12425,False,273100354581713,273159844442989,59489.861
44,FUTEX_WAIT,16743,Thread-57623,12308,False,273100356196093,273159842813269,59486.617
45,FUTEX_WAIT,15904,Thread-5268,11483,False,273100352327726,273159841802201,59489.474
46,BINDER_CALL,1982,android.hardwar,7312,False,273100351062955,273159839982703,59488.92
47,FUTEX_WAIT,1021,android.hardwar,6987,False,273100363898242,273159833193070,59469.295
48,FUTEX_WAIT,1522,UsfTransport,6920,False,273100363814746,273159833077348,59469.263
49,FUTEX_WAIT,15793,Thread-1987,5896,False,273100361519091,273159844525224,59483.006
50,FUTEX_WAIT,29269,Reade2-V2,5844,False,273100354409920,273159838517208,59484.107
51,FUTEX_WAIT,678,app,5307,False,273100366760546,273159840655432,59473.895
52,FUTEX_WAIT,15550,mali-cmar-backe,4696,False,273100353970467,273159832229732,59478.259
53,FUTEX_WAIT,15800,NativeThread,4294,False,273100356701953,273159843276567,59486.575
54,FUTEX_WAIT,707,BckgrndExec HP,3881,False,273100352910693,273159819208818,59466.298
55,FUTEX_WAIT,677,TimerDispatch,3862,False,273100366614957,273159834076575,59467.462
56,FUTEX_WAIT,1020,UsfHalWorker,3567,False,273100363901009,273159833173946,59469.273
57,BINDER_CALL,15573,Thread-72,3559,False,273100350434456,273159834398718,59483.964
58,FUTEX_WAIT,1799,SensorService,3425,False,273100364158129,273159833325069,59469.167
59,FUTEX_WAIT,15558,GThreadManager,3268,False,273100367339607,273159833548987,59466.209
60,BINDER_CALL,2224,s.nexuslauncher,2923,False,273100350780769,273159840313879,59489.533
61,FUTEX_WAIT,16801,AAudio_2,2898,False,273100367671720,273159837642818,59469.971
62,FUTEX_WAIT,16994,GPU completion,2877,False,273100356756884,273159836492590,59479.736
63,FUTEX_WAIT,15577,CoreThread,2595,False,273100361863370,273159813380896,59451.518
64,BINDER_CALL,16798,binder:981_5,2356,False,273100384763842,273159809651851,59424.888
65,FUTEX_WAIT,15556,GThreadProcess,1977,False,273100397545336,273159823690181,59426.145
66,FUTEX_WAIT,2041,android.hardwar,1952,False,273100352764737,273159818970455,59466.206
67,FUTEX_WAIT,15555,Thread-5305,1918,False,273100397649747,273159823644609,59425.995
68,FUTEX_WAIT,16757,1,1909,False,273100353569506,273159833151485,59479.582
69,BINDER_CALL,707,BckgrndExec HP,1902,False,273100371042936,273159819064897,59448.022
70,FUTEX_WAIT,638,DisplayHints,1844,False,273100369882210,273159818555090,59448.673
71,FUTEX_WAIT,2531,android.hardwar,1230,False,273100628213265,273159313607173,58685.394
72,FUTEX_WAIT,2530,android.hardwar,1230,False,273100628697599,273159314227738,58685.53
73,FUTEX_WAIT,15418,Thread-14,1188,False,273100360221972,273159770603145,59410.381
74,FUTEX_WAIT,29273,Playe2-V2,1186,False,273100361127205,273159803060584,59441.933
75,FUTEX_WAIT,681,RegSampIdle,1184,False,273100360528124,273159834582068,59474.054
76,FUTEX_WAIT,2512,Thread-26,681,False,273100628810066,273159314002722,58685.193
77,FUTEX_WAIT,680,RegionSampling,680,False,273100360632861,273159834638180,59474.005
78,FUTEX_WAIT,2256,binder:2200_2,644,False,273100628523527,273159313939937,58685.416
79,BINDER_CALL,2530,android.hardwar,615,False,273100628357796,273159313739050,58685.381
80,BINDER_CALL,2256,binder:2200_2,615,False,273100628608488,273159314025956,58685.417
81,FUTEX_WAIT,15541,mali-mem-purge,600,False,273100437310148,273159828562455,59391.252
82,BINDER_CALL,15581,APM-Routine,580,False,273100604474007,273158896473221,58291.999
83,FUTEX_WAIT,897,statsd.writer,568,False,273100485173510,273159813061112,59327.888
84,FUTEX_WAIT,1982,android.hardwar,548,False,273103902978810,273159839896358,55936.918
85,FUTEX_WAIT,2006,classifier_pool,547,False,273103903046071,273159813521887,55910.476
86,FUTEX_WAIT,1289,system_server,529,False,273100484875862,273159813009151,59328.133
87,FUTEX_WAIT,682,TouchTimer,525,False,273100402295499,273159790624426,59388.329
88,FUTEX_WAIT,899,statsd.reader,520,False,273100485226977,273159813139400,59327.912
89,BINDER_CALL,1209,system_server,519,False,273100426813647,273159792341996,59365.528
90,FUTEX_WAIT,29263,Playe2-V1,298,False,273100385653572,273159837187944,59451.534
91,BINDER_CALL,1742,binder:1385_2,270,False,273103782425831,273159812805945,56030.38
92,BINDER_CALL,4272,binder:1209_1C,263,False,273100362047045,273122395723082,22033.676
93,FUTEX_WAIT,737,adpf_handler0,257,False,273100553144620,273159820329423,59267.185
94,FUTEX_WAIT,17480,NPTH-AnrInfoPol,238,False,273100404624031,273159543996252,59139.372
95,FUTEX_WAIT,2459,mali-cmar-backe,228,False,273101975652434,273157931516556,55955.864
96,BINDER_CALL,2374,binder:1209_B,199,False,273139489939683,273158896633052,19406.693
97,FUTEX_WAIT,29262,AOutle2-V1,198,False,273100538769783,273159668082760,59129.313
98,BINDER_CALL,2891,binder:1209_14,188,False,273122395771259,273139489784573,17094.013
99,BINDER_CALL,4273,binder:1209_1D,187,False,273100349984708,273114899378148,14549.393
100,FUTEX_WAIT,18042,pixel.dcservice,177,False,273110481166476,273117665386694,7184.22
101,FUTEX_WAIT,16749,Apollo-Lwip,165,False,273103833153574,273159643976925,55810.823
102,BINDER_CALL,1988,ndroid.systemui,141,False,273101949987639,273158665045731,56715.058
103,FUTEX_WAIT,15581,APM-Routine,122,False,273100606346199,273158896739660,58290.393
104,FUTEX_WAIT,15797,AK::IOThread,122,False,273101777097095,273159588751298,57811.654
105,BINDER_CALL,4164,binder:1209_17,120,False,273138798434068,273159543865434,20745.431
106,BINDER_CALL,17480,NPTH-AnrInfoPol,119,False,273100404273160,273159543459550,59139.186
107,FUTEX_WAIT,15862,Apollo-CallBack,119,False,273100801111946,273159820497107,59019.385
108,FUTEX_WAIT,679,appSf,115,False,273100366703865,273118156919491,17790.216
109,FUTEX_WAIT,1988,ndroid.systemui,115,False,273101973278125,273157910855545,55937.577
110,BINDER_CALL,2875,binder:1209_10,103,False,273119512752499,273137785553778,18272.801
111,BINDER_CALL,1861,WifiHandlerThre,95,False,273100414722420,273158990446203,58575.724
112,FUTEX_WAIT,2481,binder:1988_4,91,False,273101994865894,273157950101110,55955.235
113,FUTEX_WAIT,2891,binder:1209_14,90,False,273124746214375,273138540284654,13794.07
114,FUTEX_WAIT,2374,binder:1209_B,89,False,273140282388211,273158983104366,18700.716
115,FUTEX_WAIT,652,RenderEngine,84,False,273100688118619,273108447150077,7759.031
116,BINDER_CALL,937,android.hardwar,84,False,273102609593392,273158893612137,56284.019
117,BINDER_CALL,4165,binder:1209_18,84,False,273105205249440,273117683905167,12478.656
118,FUTEX_WAIT,661,mali-mem-purge,78,False,273100688235400,273109245946871,8557.711
119,FUTEX_WAIT,18056,BG Thread #0,72,False,273110624602185,273117909662085,7285.06
120,FUTEX_WAIT,16883,AITrailThread,69,False,273100502302294,273158936239986,58433.938
