window_sec,window_start_ns,window_end_ns,total_events,sched_switch,sched_waking,sched_wakeup,cpu_frequency
0,86301869250391,86302869250391,285772,132590,76400,76394,388
1,86302869250391,86303869250391,171605,80177,45643,45641,144
2,86303869250391,86304869250391,228832,109101,59316,59315,1100
3,86304869250391,86305869250391,289659,139913,74425,74425,896
4,86305869250391,86306869250391,227915,108491,59126,59126,1172
5,86306869250391,86307869250391,166242,78806,43153,43151,1132
6,86307869250391,86308869250391,144661,68290,37675,37676,1020
7,86308869250391,86309869250391,136341,63673,35729,35727,1212
8,86309869250391,86310869250391,180341,85454,47028,47029,830
9,86310869250391,86311869250391,234311,111212,61148,61149,802
10,86311869250391,86312869250391,212990,101488,55390,55394,718
11,86312869250391,86313869250391,195274,93275,50553,50548,898
12,86313869250391,86314869250391,275278,133015,70798,70799,666
13,86314869250391,86315869250391,238878,114819,61671,61672,716
14,86315869250391,86316869250391,176365,83926,45685,45684,1070
15,86316869250391,86317869250391,209353,101234,53599,53598,922
16,86317869250391,86318869250391,241198,116483,61923,61924,868
17,86318869250391,86319869250391,260286,127440,66124,66124,598
18,86319869250391,86320869250391,149937,71545,38823,38821,748
19,86320869250391,86321869250391,169894,81015,43928,43927,1024
20,86321869250391,86322869250391,214272,103336,55066,55066,804
21,86322869250391,86323869250391,262497,126686,67526,67525,760
22,86323869250391,86324869250391,173467,82136,45187,45186,958
23,86324869250391,86325869250391,125387,60738,31913,31914,822
24,86325869250391,86326869250391,136093,65490,35021,35022,560
