# tracer: nop
#
# entries-in-buffer/entries-written: 1523/181595   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
  binder:31215_3-31225   [007] ..... 86324.552723: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [007] ..... 86324.616359: binder_transaction: transaction=3912945 dest_node=444 dest_proc=602 dest_thread=0 reply=0 flags=0x10 code=0x23
  surfaceflinger-600     [007] ..... 86324.616388: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  surfaceflinger-600     [007] ..... 86324.616395: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=0
    binder:602_2-602     [007] ..... 86324.616413: binder_transaction_received: transaction=3912945
    binder:602_2-602     [007] ..... 86324.616948: binder_transaction: transaction=3912946 dest_node=0 dest_proc=600 dest_thread=600 reply=1 flags=0x0 code=0x0
    binder:602_2-602     [007] ..... 86324.616979: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:602_2-602     [007] ..... 86324.616996: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:602_2-602     [007] ..... 86324.617000: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [007] ..... 86324.617014: binder_transaction_received: transaction=3912946
    binder:600_3-1965    [007] ..... 86324.679356: binder_transaction_received: transaction=3912961
    binder:600_3-1965    [007] ..... 86324.679513: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [007] ..... 86324.745811: binder_transaction: transaction=3912980 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [007] ..... 86324.745863: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:31215_3-31225   [007] ..... 86324.845060: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [007] ..... 86324.850676: binder_transaction: transaction=3913016 dest_node=444 dest_proc=602 dest_thread=0 reply=0 flags=0x10 code=0x23
  surfaceflinger-600     [007] ..... 86324.850716: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  surfaceflinger-600     [007] ..... 86324.850726: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=0
    binder:602_2-602     [007] ..... 86324.850751: binder_transaction_received: transaction=3913016
    binder:602_2-602     [007] ..... 86324.851379: binder_transaction: transaction=3913017 dest_node=0 dest_proc=600 dest_thread=600 reply=1 flags=0x0 code=0x0
    binder:602_2-602     [007] ..... 86324.851418: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:602_2-602     [007] ..... 86324.851443: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:602_2-602     [007] ..... 86324.851447: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [007] ..... 86324.851467: binder_transaction_received: transaction=3913017
 UnityGfxDeviceW-31394   [007] ..... 86324.878520: binder_transaction: transaction=3913024 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [007] ..... 86324.878691: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
       Thread-76-31418   [007] ..... 86324.917476: binder_transaction: transaction=3913039 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [007] ..... 86324.917507: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 UnityGfxDeviceW-31394   [007] ..... 86324.943418: binder_transaction: transaction=3913044 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [007] ..... 86324.943473: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    TracingMuxer-1936    [007] ..... 86324.945241: block_rq_issue: 7,40 RA 131072 () 255344 + 256 [TracingMuxer]
    TracingMuxer-1936    [007] ..... 86324.947693: block_rq_issue: 7,40 RA 131072 () 276520 + 256 [TracingMuxer]
    TracingMuxer-1936    [007] ..... 86324.948964: block_rq_issue: 7,40 RA 131072 () 20352 + 256 [TracingMuxer]
##### CPU 6 buffer started ####
   kworker/u16:0-29939   [006] ..... 86324.949088: block_rq_issue: 8,0 R 131072 () 11874768 + 256 [kworker/u16:0]
          <idle>-0       [006] ..s1. 86324.949393: block_rq_complete: 8,0 R () 11874768 + 256 [0]
     ksoftirqd/6-63      [006] ..s.. 86324.949950: block_rq_complete: 7,40 RA () 20352 + 256 [0]
    TracingMuxer-1936    [007] ..... 86324.950107: block_rq_issue: 7,40 RA 118784 () 21040 + 232 [TracingMuxer]
   kworker/u16:0-29939   [006] ..... 86324.950234: block_rq_issue: 8,0 R 102400 () 11875456 + 200 [kworker/u16:0]
   kworker/u16:0-29939   [006] ..... 86324.950247: block_rq_issue: 8,0 R 16384 () 11898360 + 32 [kworker/u16:0]
     ksoftirqd/6-63      [006] ..s.. 86324.950720: block_rq_complete: 8,0 R () 11875456 + 200 [0]
     ksoftirqd/6-63      [006] .Ns.. 86324.950747: block_rq_complete: 8,0 R () 11898360 + 32 [0]
    kworker/6:5H-32464   [006] ..s1. 86324.951261: block_rq_complete: 7,40 RA () 21040 + 232 [0]
    TracingMuxer-1936    [007] ..... 86324.954323: block_rq_issue: 7,40 RA 131072 () 254528 + 256 [TracingMuxer]
          <idle>-0       [007] .Ns1. 86324.955072: block_rq_complete: 7,40 RA () 254528 + 256 [0]
       Thread-76-31418   [006] ..... 86324.984166: binder_transaction: transaction=3913059 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [006] ..... 86324.984226: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 UnityGfxDeviceW-31394   [007] ..... 86325.009793: binder_transaction: transaction=3913066 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [007] ..... 86325.009854: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 UnityGfxDeviceW-31394   [006] ..... 86325.043516: binder_transaction: transaction=3913077 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
  binder:31215_3-31225   [007] ..... 86325.043540: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [006] ..... 86325.043578: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:31215_3-31225   [007] ..... 86325.055682: binder_transaction_received: transaction=3913083
  binder:31215_3-31225   [007] ..... 86325.055876: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [007] ..... 86325.075227: binder_transaction: transaction=3913089 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
  binder:31215_3-31225   [006] ..... 86325.075245: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [007] ..... 86325.075299: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
