tid,comm,on_cpu_ms,migration_count,wakeup_to_run_count,wakeup_to_run_p95_ms,wakeup_to_run_p99_ms,runnable_delay_count,runnable_delay_p95_ms,runnable_delay_p99_ms,sched_switch_in,sched_switch_out,sched_waking,sched_wakeup
31334,UnityMain,5176.44,1087,4630,0.059,0.202,2975,0.298,0.824,8934,8889,4631,4631
31394,UnityGfxDeviceW,2271.451,2308,7358,0.081,0.365,749,0.299,0.745,9901,9916,7582,7582
600,surfaceflinger,1472.89,704,1864,0.129,0.182,13,0.046,0.058,1882,1886,1866,1865
2044,RenderThread,236.376,204,493,0.172,0.515,57,0.434,0.629,767,765,502,502
31215,cent.tmgp.sgame,53.582,183,250,0.104,0.17,0,0.0,0.0,250,250,250,250
31269,cent.tmgp.sgame,38.875,543,1221,0.097,0.227,0,0.0,0.0,1221,1221,1222,1222
31416,UnityMain,33.52,174,390,0.091,0.204,0,0.0,0.0,393,392,390,390
31372,UnityMain,31.233,350,669,0.106,0.255,1,0.017,0.017,671,671,670,669
686,surfaceflinger,21.173,445,689,0.206,0.932,1,0.138,0.138,690,689,689,689
5414,CrGpuMain,20.824,36,53,0.708,1.107,2,0.997,0.997,66,65,53,53
6170,sgame:estPlugin,14.551,22,38,0.088,0.248,0,0.0,0.0,39,38,38,38
6182,sgame:estPlugin,14.016,117,246,0.154,0.427,1,0.016,0.016,248,247,246,246
31228,cent.tmgp.sgame,10.827,114,248,0.089,0.135,0,0.0,0.0,249,249,248,248
10994,RenderThread,5.882,11,32,1.49,3.4,0,0.0,0.0,52,52,32,32
5507,CompositorGpuTh,4.869,18,25,0.784,5.113,0,0.0,0.0,26,26,25,25
20121,RenderThread,3.118,20,33,0.797,1.901,0,0.0,0.0,34,34,33,33
31235,RenderThread,2.566,47,60,0.076,0.165,0,0.0,0.0,60,60,60,60
12482,RenderThread,1.65,7,13,0.63,0.687,0,0.0,0.0,14,14,13,13
5753,UnityMain,0.855,10,22,0.046,0.083,0,0.0,0.0,22,22,22,22
7532,allocateBuffers,0.843,0,1,0.018,0.018,0,0.0,0.0,5,5,1,1
7564,allocateBuffers,0.662,3,1,0.015,0.015,1,0.024,0.024,9,9,1,1
15461,GpuMemoryThread,0.437,0,1,0.019,0.019,0,0.0,0.0,1,1,1,1
7603,UnityMain,0.431,6,15,0.03,0.062,0,0.0,0.0,16,16,15,15
3960,RenderThread,0.096,1,2,0.88,0.88,0,0.0,0.0,2,2,2,2
30247,RenderThread,0.093,2,3,2.967,2.967,0,0.0,0.0,3,3,3,3
18872,RenderThread,0.09,1,2,0.256,0.256,1,0.101,0.101,3,3,2,2
20093,RenderThread,0.087,1,2,0.507,0.507,0,0.0,0.0,2,2,2,2
4484,RenderThread,0.074,0,2,0.188,0.188,0,0.0,0.0,2,2,2,2
16549,GpuMemoryThread,0.066,0,1,0.458,0.458,0,0.0,0.0,1,1,1,1
31594,UnityMain,0.065,1,2,0.012,0.012,0,0.0,0.0,2,2,2,2
15410,GpuMemoryThread,0.059,0,1,0.482,0.482,0,0.0,0.0,1,1,1,1
4785,RenderThread,0.057,1,2,0.119,0.119,0,0.0,0.0,2,2,2,2
5434,GpuWatchdog,0.029,0,1,0.211,0.211,0,0.0,0.0,1,1,1,1
6040,UnityMain,0.028,0,1,0.011,0.011,0,0.0,0.0,1,1,1,1
5508,GpuWatchdog_Com,0.021,0,1,0.28,0.28,0,0.0,0.0,1,1,1,1
