"frame_type","frame_token","intended_vsync","expected_start","expected_end","actual_end","is_jank","delay_ms"
"SF",3173739,448211225798341,448211225798341,448211242465007,448211210660342,1,-15.137999
"SF",3173746,448211242511885,448211242511885,448211259178551,448211227474958,1,-15.036927
"SF",3173753,448211259232012,448211259232012,448211275898678,448211243837669,1,-15.394343
"SF",3173886,448211626952132,448211626952132,448211643618798,448211612038963,1,-14.913169
"SF",3174145,448212379107068,448212379107068,448212395773734,448212364331973,1,-14.775095
"SF",3174158,448212412560800,448212412560800,448212429227466,448212399568912,1,-12.991888
"SF",3174165,448212429305572,448212429305572,448212445972238,448212416089013,1,-13.216559
"SF",3175200,448215120463483,448215120463483,448215137130149,448215105842757,1,-14.620726
"SF",3175213,448215137191390,448215137191390,448215153858056,448215121879623,1,-15.311767
"SF",3175274,448215220002093,448215220002093,448215236668759,448215204969955,1,-15.032138
"SF",3176928,448217493180252,448217493180252,448217509846918,448217478369777,1,-14.810475
"SF",3176959,448217509894707,448217509894707,448217526561373,448217495159450,0,0.000000
"SF",3176990,448217526608852,448217526608852,448217543275518,448217516946274,1,-9.662578
"SF",3177021,448217543397039,448217543397039,448217560063705,448217532366277,1,-11.030762
"SF",3177052,448217560064088,448217560064088,448217576730754,448217550692327,1,-9.371761
"SF",3177083,448217576723820,448217576723820,448217593390486,448217562198594,1,-14.525226
"SF",3177114,448217593389249,448217593389249,448217610055915,448217578413356,1,-14.975893
"SF",3177139,448217610060294,448217610060294,448217626726960,448217596944402,1,-13.115892
"SF",3177164,448217627054622,448217627054622,448217643721288,448217612000270,1,-15.054352
"SF",3177189,448217643775749,448217643775749,448217660442415,448217628866684,1,-14.909065
"SF",3177214,448217660526072,448217660526072,448217677192738,448217645809149,1,-14.716923
"SF",3177239,448217677267350,448217677267350,448217693934016,448217664767156,1,-12.500194
"SF",3177264,448217693970443,448217693970443,448217710637109,448217679258449,1,-14.711994
"SF",3177289,448217710693839,448217710693839,448217727360505,448217696015529,1,-14.678310
"SF",3177314,448217727403455,448217727403455,448217744070121,448217714567816,1,-12.835639
"SF",3177339,448217744111364,448217744111364,448217760778030,448217730754136,1,-13.357228
"SF",3177364,448217760826531,448217760826531,448217777493197,448217747718491,1,-13.108040
"SF",3177389,448217777533197,448217777533197,448217794199863,448217764520086,1,-13.013111
"SF",3177414,448217794245270,448217794245270,448217810911936,448217779470200,1,-14.775070
"SF",3177439,448217810965117,448217810965117,448217827631783,448217797482082,1,-13.483035
"SF",3177464,448217827676811,448217827676811,448217844343477,448217814636338,1,-13.040473
"SF",3177489,448217844389256,448217844389256,448217861055922,448217829786647,1,-14.602609
"SF",3177514,448217861101683,448217861101683,448217877768349,448217848093573,1,-13.008110
"SF",3177539,448217877811087,448217877811087,448217894477753,448217864877223,1,-12.933864
"SF",3177564,448217894519624,448217894519624,448217911186290,448217881281561,1,-13.238063
"SF",3177589,448217911232249,448217911232249,448217927898915,448217898432765,1,-12.799484
"SF",3177614,448217927944980,448217927944980,448217944611646,448217914957586,1,-12.987394
"SF",3177639,448217944646416,448217944646416,448217961313082,448217931547552,1,-13.098864
"SF",3177664,448217961358599,448217961358599,448217978025265,448217948804510,1,-12.554089
"SF",3177689,448217978063996,448217978063996,448217994730662,448217964901759,1,-13.162237
"SF",3177714,448217994776696,448217994776696,448218011443362,448217981409246,1,-13.367450
"SF",3177739,448218011494826,448218011494826,448218028161492,448217998428615,1,-13.066211
"SF",3177764,448218028212114,448218028212114,448218044878780,448218014940130,1,-13.271984
"SF",3177789,448218044921268,448218044921268,448218061587934,448218031733709,1,-13.187559
"SF",3177808,448218061628890,448218061628890,448218078295556,448218048468857,1,-13.160033
"SF",3177827,448218078339209,448218078339209,448218095005875,448218064408962,1,-13.930247
"SF",3177846,448218095064004,448218095064004,448218111730670,448218082073716,1,-12.990288
"SF",3177865,448218111769302,448218111769302,448218128435968,448218096906724,1,-14.862578
"SF",3177884,448218128486302,448218128486302,448218145152968,448218115552638,1,-12.933664
"SF",3177903,448218145253981,448218145253981,448218161920647,448218132409694,1,-12.844287
"SF",3177922,448218161919222,448218161919222,448218178585888,448218148839748,1,-13.079474
"SF",3178110,448218379193003,448218379193003,448218395859669,448218363842433,1,-15.350570
"SF",3178135,448218395909880,448218395909880,448218412576546,448218383251491,1,-12.658389
"SF",3178172,448218412586410,448218412586410,448218429253076,448218400339219,1,-12.247191
