"frame_type","frame_token","intended_vsync","expected_start","expected_end","actual_end","is_jank","delay_ms"
"SF",3374875,449372578962978,449372578962978,449372595629644,449372564314107,0,0.000000
"SF",3374882,449372595684688,449372595684688,449372612351354,449372580464864,0,0.000000
"SF",3374895,449372913213127,449372913213127,449372929879793,449372898410014,0,0.000000
"SF",3374945,449373113755170,449373113755170,449373130421836,449373098841532,0,0.000000
"SF",3374958,449373130461580,449373130461580,449373147128246,449373115358541,1,-15.103039
"SF",3374965,449373147156964,449373147156964,449373163823630,449373132203552,1,-14.953412
"SF",3374972,449373163859251,449373163859251,449373180525917,449373148941345,1,-14.917906
"SF",3374979,449373180579915,449373180579915,449373197246581,449373165823100,1,-14.756815
"SF",3374986,449373197285706,449373197285706,449373213952372,449373182701762,1,-14.583944
"SF",3374993,449373213995134,449373213995134,449373230661800,449373199089335,1,-14.905799
"SF",3375000,449373230715743,449373230715743,449373247382409,449373215857239,1,-14.858504
"SF",3375007,449373247432089,449373247432089,449373264098755,449373232457418,1,-14.974671
"SF",3375014,449373264140004,449373264140004,449373280806670,449373249287700,1,-14.852304
"SF",3375021,449373280853715,449373280853715,449373297520381,449373266207255,1,-14.646460
"SF",3375035,449373297565253,449373297565253,449373314231919,449373282791728,1,-14.773525
"SF",3375042,449373314278064,449373314278064,449373330944730,449373299622050,1,-14.656014
"SF",3375049,449373665245781,449373665245781,449373681912447,449373650437399,1,-14.808382
"SF",3375056,449373681959863,449373681959863,449373698626529,449373667229309,1,-14.730554
"SF",3375136,449373899221779,449373899221779,449373915888445,449373884845765,1,-14.376014
"SF",3375155,449373915936129,449373915936129,449373932602795,449373901647604,0,0.000000
"SF",3375174,449373932655439,449373932655439,449373949322105,449373918179301,1,-14.476138
"SF",3375187,449373949382296,449373949382296,449373966048962,449373934798279,1,-14.584017
"SF",3375212,449373966092286,449373966092286,449373982758952,449373951446839,1,-14.645447
"SF",3375231,449373982807213,449373982807213,449373999473879,449373967915833,1,-14.891380
"SF",3375244,449373999523650,449373999523650,449374016190316,449373984809917,1,-14.713733
"SF",3375257,449374016236427,449374016236427,449374032903093,449374001526469,1,-14.709958
"SF",3375270,449374032951188,449374032951188,449374049617854,449374022217794,1,-10.733394
"SF",3375289,449374049657778,449374049657778,449374066324444,449374034905661,1,-14.752117
"SF",3375308,449374066376850,449374066376850,449374083043516,449374051749858,1,-14.626992
"SF",3375327,449374083091898,449374083091898,449374099758564,449374068530009,1,-14.561889
"SF",3375340,449374099805001,449374099805001,449374116471667,449374085963278,0,0.000000
"SF",3375359,449374116525950,449374116525950,449374133192616,449374101750875,0,0.000000
"SF",3375372,449374133236416,449374133236416,449374149903082,449374118444072,1,-14.792344
"SF",3375385,449374149953825,449374149953825,449374166620491,449374135204000,1,-14.749825
"SF",3375398,449374166674896,449374166674896,449374183341562,449374151941590,1,-14.733306
"SF",3375411,449374183381331,449374183381331,449374200047997,449374168426575,1,-14.954756
"SF",3375424,449374200100718,449374200100718,449374216767384,449374185383729,1,-14.716989
"SF",3375437,449374216813471,449374216813471,449374233480137,449374202274313,1,-14.539158
"SF",3375457,449374233531136,449374233531136,449374250197802,449374219131694,1,-14.399442
"SF",3375482,449374250245322,449374250245322,449374266911988,449374235584412,1,-14.660910
"SF",3375495,449374266961401,449374266961401,449374283628067,449374252166606,1,-14.794795
"SF",3375502,449374283672422,449374283672422,449374300339088,449374269094381,1,-14.578041
"SF",3375509,449374300392204,449374300392204,449374317058870,449374285682557,1,-14.709647
"SF",3375522,449374317112684,449374317112684,449374333779350,449374302233257,1,-14.879427
"SF",3375529,449374333827428,449374333827428,449374350494094,449374318798402,1,-15.029026
"SF",3375536,449374350537915,449374350537915,449374367204581,449374335526795,0,0.000000
"SF",3375543,449374417395351,449374417395351,449374434062017,449374402792095,0,0.000000
"SF",3375556,449374500975273,449374500975273,449374517641939,449374486184388,1,-14.790885
"SF",3375563,449374517684759,449374517684759,449374534351425,449374502914084,0,0.000000
"SF",3375571,449374534396621,449374534396621,449374551063287,449374519175151,0,0.000000
"SF",3375578,449374617966891,449374617966891,449374634633557,449374603062155,1,-14.904736
